,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_-100_None_T9,20.350000,4.346000,261.907000,0.000000,8.590000,18.020000,11.808000,111.400000,56.171000,28.552000,0.540000,1.218000,86.589000,2.330000,0.000000,0.000000,11.850000,25.754000,2.713000,0.000000,0.000000,0.000000,0.000000,0.000000,172.078000,0.000000,6.945000,129.710000,2.900000,0.000000,0.000000,501.333000,0.680000,0.000000,0.000000,173.960000,25.493000,0.650000,0.451000,7.771000
Soil11_CE_234_-10_None_T9,28.990000,13.517000,677.924000,2.096000,30.760000,51.380000,87.449000,839.446000,339.463000,156.103000,22.014000,117.031000,74.347000,0.710000,2.230000,0.000000,37.567000,53.567000,3.291000,0.676000,1.443000,0.103000,0.000000,0.000000,323.699000,0.000000,14.813000,4.150000,3.070000,0.104000,0.000000,1458.841000,1.070000,0.000000,0.000000,33.430000,217.776000,3.940000,39.861000,214.144000
Soil11_CE_234_-14_None_T9,20.300000,22.537000,685.042000,1.841000,23.350000,40.100000,92.834000,777.974000,354.794000,142.309000,21.910000,72.936000,65.452000,0.400000,1.130000,0.000000,32.580000,58.441000,4.625000,0.000000,1.129000,0.187000,0.000000,0.000000,304.148000,0.000000,14.474000,2.860000,3.130000,0.000000,0.000000,1202.752000,1.150000,0.000000,0.000000,25.660000,111.088000,5.690000,23.925000,186.461000
Soil11_CE_234_-18_None_T9,22.490000,21.859000,667.682000,7.948000,19.510000,43.910000,93.211000,815.376000,369.146000,155.099000,25.463000,97.173000,78.888000,0.360000,1.600000,3.258000,41.711000,69.847000,6.772000,2.000000,3.515000,0.000000,0.000000,0.000000,294.355000,0.000000,14.604000,1.790000,2.540000,0.119000,0.000000,1045.027000,1.017000,0.000000,0.000000,24.120000,130.638000,9.850000,50.509000,227.626000
Soil11_CE_234_-25_None_T9,26.910000,70.862000,686.047000,12.701000,19.490000,71.840000,144.746000,764.551000,405.925000,155.793000,40.739000,144.229000,107.229000,1.180000,1.020000,4.789000,61.622000,77.814000,3.898000,2.000000,2.340000,0.000000,0.000000,0.000000,300.326000,0.000000,19.916000,4.470000,3.260000,0.210000,0.000000,953.488000,3.388000,0.000000,0.000000,40.990000,184.257000,17.310000,47.880000,263.414000
Soil11_CE_234_-3_None_T9,26.200000,6.749000,575.673000,1.550000,37.650000,55.400000,69.060000,685.217000,287.679000,140.462000,20.007000,105.404000,65.022000,0.510000,0.960000,1.000000,33.151000,54.282000,9.023000,5.000000,5.000000,0.089000,0.000000,0.000000,310.275000,0.000000,17.954000,5.010000,5.540000,0.000000,0.000000,1573.950000,1.210000,0.000000,0.000000,31.670000,181.675000,4.990000,41.619000,190.979000
Soil11_CE_234_-50_None_T9,21.120000,4.523000,371.613000,0.647000,11.990000,31.340000,19.039000,199.126000,76.403000,42.617000,5.215000,7.688000,7.077000,0.770000,0.000000,0.686000,12.028000,32.515000,3.467000,1.733000,1.613000,0.100000,0.000000,0.146000,179.210000,0.000000,8.075000,84.526000,4.910000,0.000000,0.000000,609.615000,0.700000,0.000000,0.000000,115.180000,40.197000,1.590000,4.879000,12.598000
Soil11_CE_234_-5_None_T9,24.770000,5.799000,469.220000,0.885000,29.380000,43.380000,63.275000,655.926000,281.620000,107.145000,22.082000,101.801000,64.770000,1.200000,1.018000,0.000000,34.085000,44.649000,4.641000,1.000000,2.227000,0.000000,0.000000,0.000000,265.455000,0.000000,11.160000,3.850000,1.720000,0.000000,0.133000,1387.063000,1.088000,0.000000,0.000000,30.620000,133.996000,2.570000,20.247000,159.699000
Soil11_CE_234_-8_None_T9,20.910000,6.975000,492.944000,0.000000,25.480000,40.910000,73.324000,797.782000,340.208000,116.746000,24.413000,114.992000,85.029000,1.490000,1.350000,1.000000,28.980000,41.953000,5.879000,1.000000,1.000000,0.000000,0.000000,0.000000,269.180000,0.000000,11.924000,5.250000,2.020000,0.000000,0.000000,1296.141000,0.440000,0.000000,0.000000,24.870000,182.192000,2.690000,30.267000,173.669000
Soil11_CE_234_0_None_T9,24.300000,9.477000,492.337000,2.979000,29.790000,41.500000,41.070000,363.209000,150.220000,89.528000,9.564000,41.095000,24.608000,1.730000,2.860000,1.000000,28.063000,35.273000,3.833000,0.000000,0.608000,0.000000,0.000000,0.000000,207.950000,0.000000,14.254000,2.600000,4.100000,0.105000,0.000000,1192.093000,0.210000,0.000000,0.000000,27.850000,82.490000,3.200000,39.162000,112.695000
Soil11_CE_234_3_None_T9,20.450000,8.333000,599.133000,1.824000,39.060000,50.950000,33.110000,304.037000,108.987000,73.556000,3.405000,7.326000,8.622000,1.730000,1.360000,0.000000,20.406000,34.011000,2.590000,0.380000,2.170000,0.000000,0.000000,0.000000,253.497000,0.000000,13.443000,4.270000,5.520000,0.000000,0.000000,1507.410000,0.920000,0.000000,0.000000,37.190000,65.415000,0.260000,7.264000,38.845000
Soil12_CE_229_-100_None_T9,33.220000,6.525000,656.348000,3.489000,23.470000,26.090000,8.346000,162.422000,135.296000,82.602000,4.217000,5.826000,3.507000,1.300000,0.250000,0.000000,33.967000,57.192000,9.662000,1.457000,3.119000,0.089000,0.000000,0.000000,478.108000,0.000000,12.317000,375.660000,18.640000,0.106000,0.000000,645.995000,0.360000,0.000000,4.420000,936.910000,40.999000,4.410000,6.411000,29.395000
Soil12_CE_229_-13_None_T9,20.160000,7.752000,570.250000,4.594000,24.200000,23.940000,81.393000,519.754000,246.065000,142.829000,27.659000,76.814000,26.636000,0.000000,0.000000,51.564000,35.153000,301.027000,8.892000,0.000000,0.000000,0.000000,0.000000,0.000000,250.058000,0.000000,86.843000,1.280000,9.150000,0.105000,0.000000,651.259000,8.190000,0.000000,1.780000,55.520000,107.280000,20.700000,24.834000,172.294000
Soil12_CE_229_-2_None_T9,25.060000,11.679000,557.412000,6.496000,32.760000,29.780000,53.533000,254.256000,159.717000,166.415000,23.853000,55.368000,25.972000,0.000000,5.301000,8.922000,32.432000,156.139000,18.975000,2.000000,5.211000,0.000000,0.000000,0.000000,199.785000,0.000000,39.246000,3.540000,6.790000,0.000000,0.000000,864.775000,8.026000,0.000000,1.550000,66.610000,82.117000,7.160000,50.209000,176.374000
