,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_-100_None_T9,0.229866,0.049091,2.958398,0.000000,0.097029,0.203547,0.133379,1.258331,0.634485,0.322512,0.006100,0.013758,0.978075,0.026319,0.000000,0.000000,0.133853,0.290907,0.030645,0.000000,0.000000,0.000000,0.000000,0.000000,1.943725,0.000000,0.078448,1.465153,0.032757,0.000000,0.000000,5.662860,0.007681,0.000000,0.000000,1.964984,0.287959,0.007342,0.005094,0.087778
Soil11_CE_234_-10_None_T9,0.562410,0.262232,13.151826,0.040663,0.596749,0.996780,1.696523,16.285376,6.585632,3.028421,0.427075,2.270419,1.442343,0.013774,0.043262,0.000000,0.728805,1.039208,0.063846,0.013114,0.027994,0.001998,0.000000,0.000000,6.279808,0.000000,0.287374,0.080511,0.059558,0.002018,0.000000,28.301730,0.020758,0.000000,0.000000,0.648547,4.224887,0.076437,0.773309,4.154425
Soil11_CE_234_-14_None_T9,0.468249,0.519849,15.801490,0.042465,0.538602,0.924965,2.141351,17.945102,8.183840,3.282564,0.505386,1.682375,1.509746,0.009227,0.026065,0.000000,0.751505,1.348027,0.106682,0.000000,0.026042,0.004313,0.000000,0.000000,7.015616,0.000000,0.333864,0.065970,0.072198,0.000000,0.000000,27.743224,0.026526,0.000000,0.000000,0.591885,2.562406,0.131248,0.551865,4.300994
Soil11_CE_234_-18_None_T9,0.456789,0.443973,13.561125,0.161430,0.396263,0.891845,1.893186,16.560902,7.497634,3.150178,0.517173,1.973657,1.602275,0.007312,0.032497,0.066172,0.847182,1.418645,0.137544,0.040622,0.071392,0.000000,0.000000,0.000000,5.978572,0.000000,0.296618,0.036356,0.051589,0.002417,0.000000,21.225287,0.020656,0.000000,0.000000,0.489895,2.653356,0.200061,1.025876,4.623256
Soil11_CE_234_-25_None_T9,0.481990,1.269223,12.287922,0.227490,0.349089,1.286740,2.592574,13.694023,7.270602,2.790439,0.729684,2.583314,1.920600,0.021135,0.018269,0.085777,1.103724,1.393742,0.069818,0.035822,0.041912,0.000000,0.000000,0.000000,5.379198,0.000000,0.356719,0.080063,0.058390,0.003761,0.000000,17.078111,0.060683,0.000000,0.000000,0.734180,3.300263,0.310043,0.857588,4.718060
Soil11_CE_234_-3_None_T9,0.521881,0.134434,11.466904,0.030875,0.749955,1.103520,1.375615,13.648925,5.730315,2.797881,0.398522,2.099556,1.295182,0.010159,0.019122,0.019919,0.660339,1.081250,0.179730,0.099596,0.099596,0.001773,0.000000,0.000000,6.180408,0.000000,0.357628,0.099795,0.110352,0.000000,0.000000,31.351712,0.024102,0.000000,0.000000,0.630839,3.618808,0.099396,0.829014,3.804135
Soil11_CE_234_-50_None_T9,0.304020,0.065108,5.349336,0.009314,0.172595,0.451136,0.274065,2.866401,1.099814,0.613468,0.075069,0.110668,0.101873,0.011084,0.000000,0.009875,0.173142,0.468050,0.049907,0.024946,0.023219,0.001439,0.000000,0.002102,2.579712,0.000000,0.116239,1.216744,0.070679,0.000000,0.000000,8.775353,0.010076,0.000000,0.000000,1.658006,0.578632,0.022888,0.070233,0.181347
Soil11_CE_234_-5_None_T9,0.538221,0.126005,10.195559,0.019230,0.638390,0.942593,1.374886,14.252444,6.119247,2.328126,0.479814,2.212007,1.407370,0.026074,0.022120,0.000000,0.740624,0.970166,0.100843,0.021729,0.048390,0.000000,0.000000,0.000000,5.768002,0.000000,0.242493,0.083656,0.037373,0.000000,0.002890,30.139129,0.023641,0.000000,0.000000,0.665334,2.911564,0.055843,0.439942,3.470058
Soil11_CE_234_-8_None_T9,0.501704,0.167354,11.827439,0.000000,0.611354,0.981573,1.759297,19.141561,8.162772,2.801142,0.585753,2.759058,2.040141,0.035750,0.032391,0.023993,0.695331,1.006598,0.141058,0.023993,0.023993,0.000000,0.000000,0.000000,6.458563,0.000000,0.286098,0.125966,0.048467,0.000000,0.000000,31.098925,0.010557,0.000000,0.000000,0.596718,4.371419,0.064542,0.726210,4.166923
Soil11_CE_234_0_None_T9,0.592828,0.231203,12.011149,0.072676,0.726763,1.012442,1.001952,8.860917,3.664796,2.184142,0.233325,1.002562,0.600342,0.042205,0.069773,0.024396,0.684630,0.860527,0.093511,0.000000,0.014833,0.000000,0.000000,0.000000,5.073189,0.000000,0.347743,0.063430,0.100024,0.002562,0.000000,29.082532,0.005123,0.000000,0.000000,0.679434,2.012442,0.078068,0.955404,2.749329
Soil11_CE_234_3_None_T9,0.356141,0.145121,10.434040,0.031765,0.680239,0.887306,0.576618,5.294875,1.898034,1.280995,0.059299,0.127584,0.150154,0.030128,0.023685,0.000000,0.355375,0.592309,0.045105,0.006618,0.037791,0.000000,0.000000,0.000000,4.414709,0.000000,0.234113,0.074363,0.096132,0.000000,0.000000,26.251894,0.016022,0.000000,0.000000,0.647672,1.139217,0.004528,0.126504,0.676495
Soil12_CE_229_-100_None_T9,0.204867,0.040240,4.047683,0.021517,0.144739,0.160896,0.051470,1.001653,0.834367,0.509405,0.026006,0.035929,0.021628,0.008017,0.001542,0.000000,0.209474,0.352702,0.059585,0.008985,0.019235,0.000549,0.000000,0.000000,2.948481,0.000000,0.075959,2.316687,0.114952,0.000654,0.000000,3.983836,0.002220,0.000000,0.027258,5.777902,0.252840,0.027196,0.039536,0.181278
Soil12_CE_229_-13_None_T9,0.378698,0.145618,10.711938,0.086297,0.454588,0.449704,1.528938,9.763389,4.622241,2.682991,0.519564,1.442923,0.500348,0.000000,0.000000,0.968611,0.660336,5.654682,0.167033,0.000000,0.000000,0.000000,0.000000,0.000000,4.697248,0.000000,1.631314,0.024044,0.171879,0.001972,0.000000,12.233662,0.153846,0.000000,0.033437,1.042923,2.015216,0.388842,0.466498,3.236480
Soil12_CE_229_-2_None_T9,0.454035,0.211599,10.099141,0.117694,0.593543,0.539551,0.969906,4.606588,2.893738,3.015092,0.432167,1.003153,0.470558,0.000000,0.096043,0.161648,0.587600,2.828913,0.343787,0.036236,0.094412,0.000000,0.000000,0.000000,3.619687,0.000000,0.711056,0.064137,0.123021,0.000000,0.000000,15.667917,0.145414,0.000000,0.028083,1.206834,1.487789,0.129724,0.909682,3.195528
Soil12_CE_229_-32_None_T9,0.360762,0.072847,9.162184,0.315290,0.278244,0.326162,2.421738,6.491821,3.745396,1.920204,0.891308,1.253084,0.827842,0.000000,0.099369,0.330317,0.503388,4.122937,0.603234,0.111500,0.049757,0.003040,0.000000,0.000000,2.529127,0.000000,0.668568,1.007441,0.099311,0.001520,0.000058,7.157102,0.253880,0.000000,0.042417,1.679744,2.138992,0.258556,0.556546,1.955875
Soil12_CE_229_-4_None_T9,0.432620,0.183301,10.793489,0.094700,0.561756,0.445598,0.892083,5.380035,3.338655,2.736275,0.245079,0.752780,0.442267,0.000000,0.008220,0.253450,0.622258,2.411032,0.170993,0.021631,0.031884,0.000000,0.000000,0.000000,3.734285,0.000000,0.708436,0.098205,0.193381,0.006814,0.000000,15.343824,0.083842,0.000000,0.037422,1.117889,1.314623,0.094744,0.937595,3.056435
Soil12_CE_229_-6_None_T9,0.508813,0.212998,11.165494,0.065170,0.586354,0.501219,1.050202,7.151625,3.728087,2.750789,0.338842,1.162796,0.516168,0.011191,0.009992,0.522683,0.751269,3.054439,0.235481,0.039970,0.010512,0.003857,0.000000,0.000000,4.246233,0.000000,1.039950,0.121108,0.124705,0.000000,0.000000,15.025261,0.077421,0.000000,0.019185,0.991646,1.362844,0.186458,1.059615,3.448139
Soil12_CE_229_-9_None_T9,0.336959,0.136334,10.761844,0.028637,0.474844,0.373402,1.027386,6.887299,3.749143,2.632608,0.464156,1.307914,0.495812,0.005167,0.024205,0.424966,0.684281,4.315611,0.218249,0.000000,0.017514,0.000000,0.000000,0.000000,3.744547,0.000000,0.988578,0.071526,0.195540,0.000000,0.000000,14.288714,0.056731,0.000000,0.038075,1.103889,1.651645,0.233342,0.655779,2.967963
Soil12_CE_229_0_None_T9,0.381175,0.194639,9.937897,0.071341,0.665111,0.446324,0.806884,3.402178,2.345618,2.284941,0.224167,0.517924,0.253987,0.000000,0.040192,0.000000,0.625600,1.527616,0.102327,0.032413,0.000000,0.000000,0.000000,0.016433,2.916407,0.000000,0.280922,0.087190,0.169195,0.006547,0.000000,16.110171,0.002917,0.000000,0.033061,1.138014,0.956470,0.055750,0.934299,2.309348
Soil12_CE_229_10_None_T9,0.330296,0.130185,7.595554,0.063352,0.590820,0.496140,0.844134,1.706478,1.666440,0.942604,0.058958,0.151689,0.124476,0.000000,0.005724,0.040595,0.292347,0.436563,0.084964,0.015471,0.025758,0.001640,0.000000,0.000000,1.647272,0.000000,0.163245,0.066198,0.149291,0.001624,0.000000,9.234765,0.002630,0.000000,0.025991,0.809264,0.430267,0.027383,0.129953,0.487879
Soil12_CE_229_3_None_T9,0.513143,0.262086,14.073188,0.101311,0.734943,0.987991,1.560903,3.013939,2.611329,2.090711,0.145334,0.291649,0.183843,0.000000,0.013173,0.062557,0.639177,1.039336,0.110134,0.000000,0.000000,0.000000,0.000000,0.007751,2.899730,0.000000,0.277373,0.118865,0.280007,0.000000,0.000000,20.209148,0.031371,0.000000,0.038294,1.326818,0.972214,0.059126,0.424943,1.358066
Soil12_CE_229_6_None_T9,0.363582,0.125463,10.226363,0.111054,0.641069,0.531222,1.745750,1.933201,1.722890,1.324829,0.160752,0.236299,0.156616,0.000000,0.034438,0.053657,0.395329,0.663493,0.064978,0.007620,0.000000,0.001999,0.000000,0.000000,2.183830,0.000000,0.194003,0.099357,0.110638,0.001207,0.000000,13.081286,0.010688,0.000000,0.040178,0.890252,0.680554,0.030084,0.204374,0.739871
Soil14_CE_251_N2_-23_None_T9,0.884470,1.338076,30.283635,0.035653,0.741087,0.902598,1.955392,23.792287,10.801351,3.772180,1.375433,3.509751,1.380047,0.000000,0.000000,0.057243,0.895731,11.312586,2.937703,0.152612,0.163105,0.000000,0.000000,0.000000,6.146844,0.000000,1.698346,0.916882,0.555952,0.000000,0.007306,17.147943,0.088886,0.000000,0.102730,2.079877,5.155469,0.176345,0.386640,3.331429
Soil14_CE_251_N2_-2_None_T9,0.829566,0.380086,27.831879,0.243876,0.807486,1.627589,2.111923,30.186521,10.674167,5.546262,0.742088,2.731048,1.834192,0.000000,0.025760,3.300336,1.693197,9.448481,1.653822,0.134318,0.137367,0.000000,0.000000,0.000000,11.221796,0.000000,5.686311,0.261802,0.515719,0.000000,0.000000,27.728420,0.411050,0.000000,0.098833,2.187467,3.803018,0.130375,0.468931,6.010882
