,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_-100_CHL_T9,24.010000,6.217000,423.812000,2.065000,24.550000,42.740000,29.929000,189.530000,77.196000,51.859000,1.121000,4.670000,4.347000,1.230000,1.070000,0.000000,17.128000,37.675000,3.601000,0.000000,1.216000,0.000000,0.000000,0.473000,257.853000,0.000000,9.638000,1.760000,3.890000,0.000000,0.000000,1090.635000,0.580000,0.000000,0.000000,27.770000,48.295000,0.560000,8.191000,24.991000
Soil11_CE_234_-10_CHL_T9,18.840000,6.008000,365.361000,0.834000,23.370000,33.250000,18.614000,181.493000,70.419000,44.056000,1.425000,5.237000,3.276000,0.840000,1.210000,0.000000,14.466000,34.054000,2.826000,3.243000,2.608000,0.000000,0.000000,0.000000,184.879000,0.000000,12.057000,1.740000,1.990000,0.000000,0.133000,1108.056000,0.490000,0.000000,0.000000,26.290000,44.691000,0.570000,6.020000,23.474000
Soil11_CE_234_-14_CHL_T9,14.780000,6.717000,354.357000,0.000000,19.110000,29.190000,19.692000,166.442000,69.832000,45.562000,0.444000,4.557000,3.163000,0.290000,1.250000,1.000000,11.621000,31.344000,5.294000,2.373000,2.000000,0.000000,0.000000,0.205000,157.049000,0.000000,7.860000,0.480000,2.530000,0.000000,0.000000,908.102000,0.260000,0.000000,0.000000,20.670000,40.022000,1.720000,3.949000,22.839000
Soil11_CE_234_-18_CHL_T9,18.170000,5.649000,397.420000,0.893000,22.030000,39.560000,21.639000,197.232000,71.961000,47.347000,1.643000,4.463000,4.816000,1.230000,0.480000,2.000000,15.490000,37.237000,1.801000,0.000000,1.814000,0.106000,0.000000,0.000000,183.739000,0.000000,8.798000,2.286000,2.700000,0.000000,0.277000,1024.443000,0.140000,0.000000,0.000000,21.320000,47.280000,0.710000,4.957000,19.733000
Soil11_CE_234_-25_CHL_T9,16.860000,7.185000,359.688000,0.000000,17.470000,30.340000,25.046000,185.432000,66.516000,44.919000,1.449000,6.108000,3.959000,0.530000,0.700000,0.686000,13.070000,27.801000,2.424000,0.000000,0.000000,0.000000,0.000000,0.171000,178.466000,0.000000,6.205000,1.250000,3.730000,0.000000,0.000000,963.052000,0.540000,0.000000,0.000000,21.840000,41.946000,0.640000,7.715000,23.085000
Soil11_CE_234_-3_CHL_T9,26.900000,7.627000,489.046000,2.000000,30.820000,45.300000,28.652000,219.853000,84.806000,65.453000,2.294000,8.589000,6.542000,1.410000,2.850000,0.000000,16.642000,38.460000,6.035000,0.000000,0.000000,0.000000,0.000000,0.000000,232.584000,0.000000,11.168000,2.120000,2.990000,0.000000,0.000000,1499.279000,0.170000,0.000000,0.000000,35.500000,45.498000,1.410000,6.307000,30.922000
Soil11_CE_234_-50_CHL_T9,18.740000,6.218000,394.847000,1.660000,25.730000,38.040000,44.312000,170.877000,70.760000,59.501000,4.019000,6.232000,7.524000,0.440000,1.910000,0.000000,13.110000,29.323000,7.481000,0.000000,1.784000,0.000000,0.000000,0.338000,222.237000,0.000000,7.606000,3.131000,2.640000,0.000000,0.267000,1323.393000,0.550000,0.000000,0.000000,24.820000,35.697000,0.650000,23.096000,53.026000
Soil11_CE_234_-5_CHL_T9,19.910000,6.127000,365.083000,1.225000,24.700000,36.780000,18.344000,173.297000,77.745000,46.228000,4.077000,8.226000,4.243000,1.590000,2.150000,0.000000,10.152000,27.935000,3.173000,0.000000,1.139000,0.000000,0.000000,0.706000,180.503000,0.000000,9.566000,4.112000,2.930000,0.502000,0.000000,1149.099000,0.740000,0.000000,0.000000,24.890000,36.559000,0.650000,3.856000,17.974000
Soil11_CE_234_-8_CHL_T9,91.980000,23.837000,1580.738000,4.702000,96.510000,156.980000,70.651000,792.152000,272.513000,179.550000,11.879000,21.625000,11.719000,3.740000,8.420000,1.355000,54.456000,127.498000,13.360000,5.662000,4.907000,0.204000,0.000000,0.507000,783.965000,0.000000,43.799000,11.803000,12.540000,0.283000,0.000000,4883.572000,1.940000,0.000000,0.000000,110.730000,158.076000,3.500000,9.152000,68.812000
Soil11_CE_234_0_CHL_T9,19.020000,8.876000,408.341000,0.886000,26.690000,35.960000,24.217000,190.713000,69.697000,51.134000,0.782000,8.032000,4.802000,0.530000,2.940000,1.000000,12.268000,26.438000,4.046000,1.000000,0.479000,0.433000,0.000000,0.000000,168.694000,0.000000,11.537000,2.062000,2.100000,0.000000,0.000000,1047.011000,0.450000,0.000000,0.000000,24.450000,31.059000,0.700000,12.701000,30.415000
