,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_-100_CHL_T9,0.321097,0.083143,5.667830,0.027616,0.328318,0.571581,0.400254,2.534671,1.032377,0.693534,0.014992,0.062454,0.058134,0.016449,0.014310,0.000000,0.229061,0.503845,0.048158,0.000000,0.016262,0.000000,0.000000,0.006326,3.448385,0.000000,0.128893,0.023537,0.052023,0.000000,0.000000,14.585557,0.007757,0.000000,0.000000,0.371381,0.645871,0.007489,0.109542,0.334216
Soil11_CE_234_-10_CHL_T9,0.338071,0.107809,6.556148,0.014966,0.419358,0.596648,0.334015,3.256765,1.263620,0.790554,0.025571,0.093974,0.058786,0.015073,0.021713,0.000000,0.259582,0.611075,0.050711,0.058193,0.046799,0.000000,0.000000,0.000000,3.317524,0.000000,0.216354,0.031223,0.035709,0.000000,0.002387,19.883290,0.008793,0.000000,0.000000,0.471756,0.801949,0.010228,0.108025,0.421225
Soil11_CE_234_-14_CHL_T9,0.281224,0.127807,6.742465,0.000000,0.363612,0.555408,0.374686,3.166946,1.328716,0.866923,0.008448,0.086708,0.060183,0.005518,0.023784,0.019027,0.221117,0.596392,0.100731,0.045152,0.038055,0.000000,0.000000,0.003901,2.988222,0.000000,0.149555,0.009133,0.048139,0.000000,0.000000,17.278750,0.004947,0.000000,0.000000,0.393295,0.761512,0.032727,0.075139,0.434565
Soil11_CE_234_-18_CHL_T9,0.315660,0.098138,6.904208,0.015514,0.382718,0.687259,0.375925,3.426427,1.250148,0.822539,0.028543,0.077534,0.083666,0.021368,0.008339,0.034745,0.269101,0.646902,0.031288,0.000000,0.031514,0.001841,0.000000,0.000000,3.192019,0.000000,0.152844,0.039714,0.046906,0.000000,0.004812,17.797210,0.002432,0.000000,0.000000,0.370383,0.821375,0.012335,0.086116,0.342813
Soil11_CE_234_-25_CHL_T9,0.363527,0.154919,7.755407,0.000000,0.376679,0.654175,0.540029,3.998189,1.434184,0.968520,0.031243,0.131698,0.085362,0.011428,0.015093,0.014791,0.281809,0.599431,0.052265,0.000000,0.000000,0.000000,0.000000,0.003687,3.847992,0.000000,0.133789,0.026952,0.080424,0.000000,0.000000,20.764829,0.011643,0.000000,0.000000,0.470903,0.904418,0.013799,0.166347,0.497747
Soil11_CE_234_-3_CHL_T9,0.323667,0.091770,5.884322,0.024064,0.370834,0.545061,0.344748,2.645325,1.020407,0.787547,0.027602,0.103345,0.078715,0.016965,0.034292,0.000000,0.200241,0.462760,0.072615,0.000000,0.000000,0.000000,0.000000,0.000000,2.798508,0.000000,0.134376,0.025508,0.035976,0.000000,0.000000,18.039694,0.002045,0.000000,0.000000,0.427145,0.547443,0.016965,0.075887,0.372061
Soil11_CE_234_-50_CHL_T9,0.426578,0.141540,8.987890,0.037787,0.585691,0.865903,1.008673,3.889668,1.610708,1.354419,0.091484,0.141859,0.171269,0.010016,0.043477,0.000000,0.298423,0.667479,0.170290,0.000000,0.040609,0.000000,0.000000,0.007694,5.058774,0.000000,0.173135,0.071271,0.060094,0.000000,0.006078,30.124354,0.012520,0.000000,0.000000,0.564977,0.812570,0.014796,0.525734,1.207029
Soil11_CE_234_-5_CHL_T9,0.373350,0.114893,6.845991,0.022971,0.463171,0.689694,0.343984,3.249644,1.457865,0.866862,0.076451,0.154253,0.079564,0.029815,0.040317,0.000000,0.190369,0.523834,0.059500,0.000000,0.021358,0.000000,0.000000,0.013239,3.384770,0.000000,0.179380,0.077108,0.054943,0.009413,0.000000,21.547761,0.013876,0.000000,0.000000,0.466734,0.685550,0.012189,0.072307,0.337046
Soil11_CE_234_-8_CHL_T9,0.384870,0.099741,6.614243,0.019674,0.403824,0.656848,0.295623,3.314582,1.140269,0.751287,0.049705,0.090485,0.049036,0.015649,0.035232,0.005670,0.227859,0.533487,0.055902,0.023691,0.020532,0.000854,0.000000,0.002121,3.280326,0.000000,0.183267,0.049387,0.052471,0.001184,0.000000,20.434211,0.008117,0.000000,0.000000,0.463325,0.661434,0.014645,0.038294,0.287928
Soil11_CE_234_0_CHL_T9,0.352157,0.164340,7.560470,0.016404,0.494168,0.665803,0.448380,3.531068,1.290446,0.946751,0.014479,0.148713,0.088909,0.009813,0.054434,0.018515,0.227143,0.489502,0.074912,0.018515,0.008869,0.008017,0.000000,0.000000,3.123385,0.000000,0.213609,0.038178,0.038882,0.000000,0.000000,19.385503,0.008332,0.000000,0.000000,0.452694,0.575060,0.012961,0.235160,0.563136
