,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_0_CHL_No_Nitrate_T9,21.480000,10.542000,635.395000,1.027000,33.800000,53.260000,28.823000,286.990000,102.147000,70.995000,4.274000,7.479000,6.448000,2.090000,3.380000,0.000000,17.603000,46.367000,4.604000,1.597000,1.000000,0.000000,0.000000,0.000000,239.232000,0.000000,11.038000,2.333000,3.080000,0.000000,0.131000,1509.402000,0.340000,0.000000,0.000000,38.290000,46.387000,0.980000,10.305000,32.599000
Soil11_CE_234_0_None_No_Nitrate_T9,12.610000,5.071000,375.965000,0.734000,22.050000,32.080000,22.158000,304.617000,130.352000,52.534000,5.965000,25.845000,21.466000,0.760000,0.850000,0.000000,14.441000,30.169000,4.101000,1.000000,0.000000,0.051000,0.000000,0.000000,174.677000,0.000000,9.441000,2.765000,2.460000,0.000000,0.133000,860.803000,0.370000,0.000000,0.000000,22.330000,43.954000,1.280000,17.387000,50.205000
Soil12_CE_229_0_CHL_No_Nitrate_T9,16.300000,10.666000,517.785000,1.724000,26.570000,26.600000,16.855000,85.812000,68.053000,60.529000,1.296000,6.936000,4.248000,0.000000,2.060000,1.000000,19.485000,47.150000,6.916000,1.000000,1.521000,0.000000,0.000000,0.000000,110.441000,0.000000,10.629000,2.929000,9.970000,0.482000,0.133000,764.098000,0.180000,0.000000,2.680000,51.860000,29.963000,2.210000,4.709000,37.224000
Soil12_CE_229_0_None_No_Nitrate_T9,16.600000,8.225000,548.307000,1.552000,31.730000,27.490000,24.713000,229.175000,193.402000,92.200000,5.131000,12.305000,6.121000,0.370000,0.000000,0.785000,24.863000,121.190000,14.534000,1.000000,3.253000,0.104000,0.000000,0.000000,170.013000,0.000000,40.904000,8.650000,10.990000,0.000000,0.000000,816.255000,0.180000,0.000000,0.960000,68.460000,35.621000,2.140000,10.446000,84.343000
Soil14_CE_251_N2_0_CHL_No_Nitrate_T9,13.660000,6.423000,452.021000,5.230000,15.150000,26.750000,8.719000,71.532000,45.294000,60.369000,2.275000,8.414000,4.802000,0.000000,0.000000,3.132000,17.277000,48.082000,7.657000,0.000000,1.273000,0.000000,0.000000,0.253000,72.375000,0.000000,8.700000,6.222000,9.470000,0.000000,0.000000,586.598000,0.450000,0.000000,3.730000,53.200000,37.113000,1.080000,4.338000,40.257000
Soil14_CE_251_N2_0_None_No_Nitrate_T9,18.080000,9.059000,536.327000,2.156000,20.870000,27.740000,14.240000,277.648000,105.930000,75.529000,9.659000,35.454000,25.675000,0.000000,0.200000,4.854000,20.976000,78.213000,12.119000,0.000000,0.887000,0.099000,0.000000,0.000000,94.003000,0.000000,15.050000,4.493000,13.390000,0.000000,0.000000,576.722000,0.616000,0.000000,2.170000,43.680000,70.847000,1.280000,10.660000,69.225000
Soil15_CE_251_N5_0_CHL_No_Nitrate_T9,25.890000,14.635000,784.044000,1.399000,22.250000,44.690000,17.896000,193.584000,110.111000,96.333000,10.732000,47.610000,34.561000,0.000000,0.330000,2.776000,23.877000,103.011000,8.887000,0.000000,2.258000,0.000000,0.000000,0.000000,98.867000,0.000000,16.618000,15.265000,16.650000,0.514000,0.000000,831.358000,0.989000,0.000000,5.160000,77.310000,121.632000,0.390000,15.679000,63.969000
Soil15_CE_251_N5_0_None_No_Nitrate_T9,30.910000,19.554000,1195.010000,4.895000,27.730000,87.790000,53.611000,1042.002000,500.756000,156.526000,84.356000,282.026000,225.696000,0.370000,1.711000,2.323000,32.919000,203.387000,23.377000,5.316000,7.825000,0.000000,0.000000,0.000000,158.478000,0.000000,31.724000,10.651000,19.830000,0.104000,0.000000,1335.608000,1.441000,0.000000,7.340000,110.840000,373.549000,2.620000,25.296000,126.065000
Soil16_CE_251_N6_0_CHL_No_Nitrate_T9,17.690000,8.435000,701.616000,2.633000,26.780000,40.190000,12.668000,106.352000,60.744000,74.781000,8.076000,20.035000,22.488000,2.430000,0.000000,5.169000,22.787000,90.280000,9.411000,1.000000,2.450000,0.151000,0.000000,0.000000,83.151000,0.000000,12.939000,11.699000,13.510000,0.210000,0.000000,681.369000,1.980000,0.000000,4.890000,50.800000,97.934000,1.330000,12.870000,64.247000
Soil16_CE_251_N6_0_None_No_Nitrate_T9,25.490000,14.858000,1332.348000,5.458000,37.740000,59.020000,43.854000,759.804000,368.634000,163.152000,47.182000,201.890000,128.577000,0.370000,0.517000,3.054000,41.539000,205.019000,15.488000,2.754000,2.572000,0.000000,0.000000,0.000000,170.048000,0.000000,27.321000,8.400000,25.140000,0.315000,0.000000,1185.093000,3.879000,0.000000,6.400000,97.200000,299.454000,7.110000,24.157000,169.224000
Soil17_CE_251_N3_0_CHL_No_Nitrate_T9,25.360000,9.118000,627.417000,3.268000,17.110000,54.440000,22.094000,163.046000,81.137000,86.651000,8.098000,42.165000,29.559000,0.290000,1.627000,6.012000,21.348000,108.920000,22.596000,4.546000,8.061000,0.000000,0.000000,0.000000,100.762000,0.000000,27.837000,5.281000,9.310000,0.000000,0.837000,680.265000,5.069000,0.000000,4.820000,62.420000,78.601000,5.040000,21.266000,76.403000
Soil17_CE_251_N3_0_None_No_Nitrate_T9,15.860000,6.788000,491.102000,1.971000,13.590000,38.330000,28.791000,435.327000,220.797000,70.038000,29.803000,112.187000,96.672000,0.000000,1.640000,13.827000,10.747000,77.698000,16.113000,4.239000,4.385000,0.085000,0.000000,0.000000,104.093000,0.000000,19.579000,5.100000,9.780000,0.000000,0.230000,516.343000,4.673000,0.000000,2.390000,50.960000,152.752000,5.570000,21.111000,78.541000
Soil3_CE_239_0_CHL_No_Nitrate_T9,11.890000,7.968000,939.132000,2.344000,73.450000,29.970000,7.752000,727.389000,81.802000,29.361000,0.281000,3.721000,2.876000,3.060000,0.000000,0.000000,9.924000,19.570000,2.791000,0.574000,0.000000,0.306000,0.000000,0.000000,301.021000,0.000000,21.446000,25.046000,1.920000,0.000000,0.000000,1986.116000,0.000000,0.000000,0.000000,41.630000,65.917000,6.150000,1.130000,10.871000
Soil3_CE_239_0_None_No_Nitrate_T9,22.120000,5.945000,869.424000,1.991000,82.100000,39.880000,6.687000,721.796000,89.621000,37.836000,1.524000,4.854000,6.300000,4.210000,0.000000,1.000000,19.073000,28.868000,3.353000,1.000000,0.000000,0.105000,0.000000,0.000000,307.444000,0.000000,16.577000,38.179000,0.370000,0.000000,0.000000,1978.066000,0.000000,0.000000,0.000000,32.970000,87.934000,22.080000,6.289000,17.824000
Soil5_CE_201_0_CHL_No_Nitrate_T9,15.830000,6.089000,379.184000,0.055000,34.650000,41.120000,5.399000,325.415000,58.385000,20.967000,1.083000,2.046000,4.964000,0.000000,0.000000,0.000000,6.499000,11.147000,2.187000,0.000000,0.000000,0.000000,0.000000,0.000000,193.590000,0.000000,12.113000,5.500000,2.290000,0.000000,0.000000,740.863000,0.068000,0.000000,0.000000,16.350000,52.785000,4.900000,1.820000,9.575000
Soil5_CE_201_0_None_No_Nitrate_T9,29.680000,7.343000,557.853000,3.225000,59.430000,65.060000,12.434000,540.224000,164.769000,44.287000,1.773000,9.436000,13.298000,0.700000,0.430000,3.039000,12.158000,40.375000,4.819000,0.000000,0.000000,0.000000,0.000000,0.000000,295.454000,0.000000,20.977000,11.291000,3.380000,0.000000,0.000000,1293.827000,0.127000,0.000000,0.000000,25.660000,97.990000,12.650000,8.051000,23.255000
Soil6_CE_73_0_CHL_No_Nitrate_T9,25.460000,15.148000,725.583000,1.714000,88.220000,63.710000,22.573000,483.151000,110.894000,77.846000,2.285000,6.338000,7.149000,0.630000,2.680000,2.000000,14.967000,32.706000,5.594000,0.000000,0.000000,0.210000,0.000000,0.000000,328.070000,0.000000,24.097000,5.760000,5.260000,0.000000,0.000000,1328.749000,0.000000,0.000000,1.220000,51.430000,75.414000,1.870000,11.688000,44.272000
Soil6_CE_73_0_None_No_Nitrate_T9,32.020000,19.098000,668.710000,1.366000,91.290000,75.660000,26.353000,528.924000,145.548000,91.214000,2.758000,6.460000,10.865000,2.610000,0.620000,0.000000,21.760000,40.207000,3.586000,0.358000,1.686000,0.000000,0.000000,0.000000,366.500000,0.000000,25.159000,9.383000,3.040000,0.207000,0.000000,1324.098000,0.127000,0.000000,2.100000,42.390000,171.571000,3.300000,22.509000,73.277000
Soil9_CE_277_0_CHL_No_Nitrate_T9,25.820000,21.785000,662.661000,0.167000,51.250000,52.140000,33.708000,348.128000,135.537000,88.599000,5.858000,28.490000,11.783000,1.970000,2.590000,0.000000,16.012000,35.079000,2.891000,1.000000,1.139000,0.092000,0.000000,0.250000,148.512000,0.000000,12.175000,2.300000,6.230000,0.315000,0.000000,927.324000,0.340000,0.000000,0.000000,32.430000,55.753000,3.390000,11.268000,55.087000
Soil9_CE_277_0_None_No_Nitrate_T9,23.420000,19.675000,616.962000,3.778000,48.010000,50.740000,71.669000,644.800000,344.563000,128.139000,30.803000,136.363000,70.445000,2.190000,0.440000,1.000000,30.903000,50.355000,9.942000,1.415000,1.531000,0.316000,0.000000,0.000000,212.593000,0.000000,15.292000,4.542000,6.510000,0.691000,0.000000,911.241000,1.750000,0.000000,0.000000,25.550000,93.828000,7.270000,27.765000,147.865000
