,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_0_CHL_No_Nitrate_T9,0.337465,0.165622,9.982483,0.016135,0.531021,0.836750,0.452829,4.508806,1.604798,1.115379,0.067147,0.117500,0.101302,0.032835,0.053102,0.000000,0.276555,0.728457,0.072332,0.025090,0.015711,0.000000,0.000000,0.000000,3.758496,0.000000,0.173414,0.036653,0.048389,0.000000,0.002058,23.713720,0.005342,0.000000,0.000000,0.601562,0.728771,0.015396,0.161898,0.512152
Soil11_CE_234_0_None_No_Nitrate_T9,0.366943,0.147563,10.940346,0.021359,0.641641,0.933508,0.644784,8.864164,3.793162,1.528707,0.173578,0.752073,0.624647,0.022116,0.024734,0.000000,0.420224,0.877899,0.119337,0.029099,0.000000,0.001484,0.000000,0.000000,5.082991,0.000000,0.274727,0.080460,0.071584,0.000000,0.003870,25.048829,0.010767,0.000000,0.000000,0.649789,1.279034,0.037247,0.505951,1.460934
Soil12_CE_229_0_CHL_No_Nitrate_T9,0.329246,0.215444,10.458824,0.034823,0.536692,0.537298,0.340457,1.733331,1.374614,1.222635,0.026178,0.140101,0.085806,0.000000,0.041610,0.020199,0.393581,0.952391,0.139697,0.020199,0.030723,0.000000,0.000000,0.000000,2.230816,0.000000,0.214697,0.059163,0.201386,0.009736,0.002686,15.434141,0.003636,0.000000,0.054134,1.047529,0.605228,0.044640,0.095118,0.751894
Soil12_CE_229_0_None_No_Nitrate_T9,0.347491,0.172176,11.477821,0.032488,0.664211,0.575454,0.517322,4.797367,4.048523,1.930041,0.107408,0.257583,0.128132,0.007745,0.000000,0.016433,0.520462,2.536895,0.304243,0.020933,0.068096,0.002177,0.000000,0.000000,3.558916,0.000000,0.856252,0.181072,0.230056,0.000000,0.000000,17.086831,0.003768,0.000000,0.020096,1.433087,0.745662,0.044797,0.218668,1.765569
Soil14_CE_251_N2_0_CHL_No_Nitrate_T9,0.390978,0.183840,12.937804,0.149694,0.433625,0.765642,0.249556,2.047398,1.296411,1.727889,0.065115,0.240827,0.137443,0.000000,0.000000,0.089645,0.494505,1.376209,0.219160,0.000000,0.036436,0.000000,0.000000,0.007241,2.071527,0.000000,0.249013,0.178087,0.271052,0.000000,0.000000,16.789685,0.012880,0.000000,0.106761,1.522697,1.062253,0.030912,0.124163,1.152241
Soil14_CE_251_N2_0_None_No_Nitrate_T9,0.729915,0.365725,21.652281,0.087041,0.842551,1.119903,0.574889,11.209043,4.276544,3.049213,0.389948,1.431328,1.036536,0.000000,0.008074,0.195963,0.846831,3.157570,0.489261,0.000000,0.035809,0.003997,0.000000,0.000000,3.795034,0.000000,0.607590,0.181389,0.540573,0.000000,0.000000,23.283084,0.024869,0.000000,0.087606,1.763423,2.860194,0.051675,0.430359,2.794711
Soil15_CE_251_N5_0_CHL_No_Nitrate_T9,0.310220,0.175360,9.394586,0.016763,0.266604,0.535485,0.214434,2.319566,1.319374,1.154283,0.128593,0.570473,0.414117,0.000000,0.003954,0.033263,0.286099,1.234300,0.106486,0.000000,0.027056,0.000000,0.000000,0.000000,1.184646,0.000000,0.199121,0.182909,0.199504,0.006159,0.000000,9.961513,0.011850,0.000000,0.061828,0.926345,1.457421,0.004673,0.187869,0.766491
Soil15_CE_251_N5_0_None_No_Nitrate_T9,0.349942,0.221377,13.529079,0.055418,0.313940,0.993898,0.606947,11.796828,5.669214,1.772079,0.955020,3.192904,2.555174,0.004189,0.019371,0.026299,0.372686,2.302607,0.264658,0.060184,0.088589,0.000000,0.000000,0.000000,1.794179,0.000000,0.359157,0.120583,0.224502,0.001177,0.000000,15.120832,0.016314,0.000000,0.083098,1.254854,4.229064,0.029662,0.286384,1.427221
Soil16_CE_251_N6_0_CHL_No_Nitrate_T9,0.317914,0.151589,12.609014,0.047319,0.481274,0.722270,0.227662,1.911293,1.091654,1.343918,0.145137,0.360057,0.404141,0.043670,0.000000,0.092894,0.409514,1.622457,0.169129,0.017971,0.044030,0.002714,0.000000,0.000000,1.494339,0.000000,0.232532,0.210247,0.242793,0.003774,0.000000,12.245148,0.035583,0.000000,0.087880,0.912947,1.760010,0.023902,0.231292,1.154608
Soil16_CE_251_N6_0_None_No_Nitrate_T9,0.360772,0.210292,18.857361,0.077250,0.534152,0.835338,0.620687,10.753871,5.217454,2.309169,0.667790,2.857446,1.819812,0.005237,0.007317,0.043225,0.587921,2.901732,0.219209,0.038979,0.036403,0.000000,0.000000,0.000000,2.406771,0.000000,0.386687,0.118889,0.355818,0.004458,0.000000,16.773190,0.054901,0.000000,0.090582,1.375718,4.238316,0.100631,0.341906,2.395109
Soil17_CE_251_N3_0_CHL_No_Nitrate_T9,0.574666,0.206617,14.217471,0.074054,0.387718,1.233628,0.500657,3.694675,1.838591,1.963540,0.183503,0.955472,0.669816,0.006571,0.036868,0.136234,0.483753,2.468162,0.512033,0.103014,0.182665,0.000000,0.000000,0.000000,2.283299,0.000000,0.630795,0.119669,0.210968,0.000000,0.018967,15.415024,0.114865,0.000000,0.109223,1.414457,1.781124,0.114208,0.481894,1.731317
