,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_0_None_T0,15.030000,6.483000,356.077000,0.402000,19.910000,25.610000,20.047000,150.113000,70.462000,40.745000,3.237000,6.657000,5.375000,1.680000,3.080000,0.000000,9.530000,23.358000,0.601000,1.000000,2.732000,0.000000,0.000000,0.000000,132.713000,0.000000,7.126000,1.280000,1.490000,0.210000,0.000000,866.614000,0.600000,0.000000,0.000000,22.700000,28.859000,0.280000,6.057000,26.751000
Soil12_CE_229_0_None_T0,20.190000,10.044000,541.989000,0.828000,29.190000,29.450000,19.232000,99.659000,81.352000,77.091000,6.453000,9.981000,4.624000,0.430000,1.230000,1.764000,26.924000,40.274000,3.948000,1.286000,5.428000,0.057000,0.000000,0.000000,106.535000,0.000000,10.699000,5.380000,7.450000,0.204000,0.133000,757.803000,0.935000,0.000000,2.140000,57.760000,25.141000,1.970000,13.845000,50.564000
Soil14_CE_251_N2_0_None_T0,15.460000,11.510000,489.365000,0.993000,14.780000,22.630000,9.039000,91.514000,56.495000,62.708000,4.451000,10.078000,3.977000,0.000000,1.010000,1.412000,26.111000,54.012000,7.944000,2.096000,1.433000,0.000000,0.000000,0.000000,78.067000,0.000000,10.273000,2.910000,12.450000,0.000000,0.000000,623.619000,0.360000,0.000000,3.120000,42.000000,42.400000,0.300000,6.709000,42.705000
Soil15_CE_251_N5_0_None_T0,29.210000,14.327000,899.584000,6.388000,23.390000,57.700000,20.700000,190.084000,107.340000,127.969000,15.582000,55.046000,40.047000,1.660000,0.723000,4.187000,26.409000,150.241000,19.376000,3.061000,4.720000,0.000000,0.000000,0.000000,107.239000,0.000000,16.771000,11.389000,15.600000,0.000000,0.000000,1151.865000,1.942000,0.000000,4.030000,85.130000,154.280000,1.280000,15.946000,87.614000
Soil16_CE_251_N6_0_None_T0,25.520000,15.899000,1091.604000,9.481000,27.890000,54.320000,27.778000,199.979000,108.118000,131.628000,13.714000,48.887000,29.240000,2.420000,0.259000,4.886000,26.685000,148.729000,16.004000,3.736000,9.331000,0.000000,0.000000,0.000000,125.815000,0.000000,23.740000,10.861000,18.340000,0.000000,0.000000,1030.533000,4.222000,0.000000,7.100000,86.100000,147.851000,2.360000,17.918000,118.034000
Soil17_CE_251_N3_0_None_T0,27.430000,11.859000,708.277000,2.640000,17.380000,58.180000,19.685000,149.889000,92.234000,84.848000,9.496000,38.226000,23.148000,0.200000,0.140000,7.392000,24.668000,98.705000,18.018000,0.775000,9.129000,0.085000,0.000000,0.000000,92.867000,0.000000,23.464000,5.426000,14.390000,0.000000,0.380000,835.437000,1.339000,0.000000,4.530000,74.060000,87.121000,5.600000,16.303000,63.866000
Soil3_CE_239_0_None_T0,11.380000,1.983000,290.641000,1.015000,27.140000,15.040000,2.618000,202.110000,33.603000,14.877000,1.280000,2.466000,1.173000,2.210000,0.000000,0.000000,7.801000,7.163000,4.501000,0.000000,0.000000,0.000000,0.000000,0.000000,115.297000,0.000000,9.898000,6.630000,2.050000,0.000000,0.000000,759.007000,0.000000,0.000000,0.000000,14.950000,31.001000,2.210000,1.130000,9.542000
Soil5_CE_201_0_None_T0,17.120000,3.726000,325.425000,0.000000,17.450000,32.620000,7.713000,269.769000,54.371000,20.799000,0.215000,1.231000,3.481000,0.420000,0.000000,0.000000,9.137000,16.200000,2.604000,1.540000,0.000000,0.000000,0.000000,0.000000,162.177000,0.000000,12.539000,4.820000,2.700000,0.000000,0.000000,651.783000,0.000000,0.000000,0.000000,15.190000,41.095000,2.910000,7.293000,11.005000
Soil6_CE_73_0_None_T0,40.500000,13.070000,735.395000,2.896000,98.860000,86.020000,23.953000,449.357000,126.333000,75.984000,3.515000,6.762000,7.852000,2.020000,0.970000,0.000000,21.626000,32.708000,6.464000,1.000000,1.000000,0.000000,0.000000,0.000000,332.974000,0.000000,22.285000,5.912000,3.940000,0.105000,0.000000,1417.171000,0.000000,0.000000,1.290000,52.280000,81.124000,1.860000,18.218000,46.434000
Soil9_CE_277_0_None_T0,34.620000,23.069000,614.397000,2.119000,56.380000,54.660000,33.620000,346.259000,143.652000,81.650000,4.249000,24.090000,11.361000,0.900000,1.020000,1.657000,19.501000,35.739000,2.748000,1.000000,1.526000,0.000000,0.000000,0.000000,173.728000,0.000000,20.025000,4.144000,7.990000,0.000000,0.000000,955.752000,0.350000,0.000000,0.000000,30.410000,55.449000,2.770000,9.234000,50.755000
