,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_0_None_T0,0.324500,0.183819,10.465732,0.011074,0.546802,1.034378,0.632940,3.395763,1.818412,0.908077,0.089169,0.164647,0.148063,0.000000,0.099444,0.000000,0.198061,0.636824,0.016556,0.027547,0.075258,0.000000,0.000000,0.000000,3.328274,0.000000,0.196298,0.021762,0.051237,0.005785,0.000000,23.949755,0.002479,0.000000,0.009641,0.348190,0.884772,0.002755,0.166850,0.736902
Soil12_CE_229_0_None_T0,0.558275,0.233859,10.793506,0.017470,0.507427,0.610811,0.413790,1.820597,1.695544,1.472719,0.136151,0.217339,0.097561,0.009072,0.025952,0.037218,0.420795,0.860706,0.083298,0.027133,0.114524,0.001203,0.000000,0.000000,2.099228,0.000000,0.225736,0.062453,0.116466,0.004304,0.002806,14.850473,0.019727,0.000000,0.040088,0.774960,0.620749,0.000000,0.296122,1.050384
Soil14_CE_251_N2_0_None_T0,0.553908,0.208940,11.778573,0.027015,0.439372,0.411078,0.242376,1.968441,1.550045,1.517752,0.121093,0.274179,0.108197,0.000000,0.012787,0.038414,0.564273,1.430802,0.216122,0.057023,0.038986,0.000000,0.000000,0.000000,2.099927,0.000000,0.279484,0.037000,0.270153,0.000000,0.000000,15.360040,0.009794,0.000000,0.083794,0.859972,1.103735,0.006801,0.200207,1.158283
Soil15_CE_251_N5_0_None_T0,0.373531,0.143131,8.856927,0.074172,0.204240,0.462008,0.240351,2.007965,1.244833,1.123485,0.180925,0.641354,0.441422,0.005109,0.003634,0.048616,0.336944,1.614196,0.224978,0.035542,0.054805,0.000000,0.000000,0.000000,1.249582,0.000000,0.194731,0.070120,0.172194,0.000000,0.000000,8.934153,0.022549,0.000000,0.046909,0.659398,1.657378,0.008128,0.177256,1.016488
Soil16_CE_251_N6_0_None_T0,0.496004,0.303301,12.432606,0.127132,0.218837,0.574313,0.363629,2.293888,1.451647,1.715941,0.183893,0.620132,0.353867,0.025343,0.003473,0.065517,0.426478,1.998887,0.214600,0.050097,0.125121,0.000000,0.000000,0.000000,1.654621,0.000000,0.318333,0.107823,0.240828,0.000000,0.000000,10.266614,0.056613,0.000000,0.096814,0.627682,2.081112,0.005766,0.263061,1.574957
Soil17_CE_251_N3_0_None_T0,0.559430,0.140394,11.682120,0.048839,0.277310,0.568495,0.364166,2.183498,1.710369,1.254241,0.175673,0.699954,0.428231,0.000000,0.000000,0.136750,0.514994,1.856905,0.333327,0.014337,0.168884,0.001572,0.000000,0.000000,1.745759,0.000000,0.434076,0.062640,0.301730,0.000000,0.000000,12.926038,0.024771,0.000000,0.067709,0.796041,1.606900,0.053834,0.301600,1.182980
Soil3_CE_239_0_None_T0,0.177582,0.064379,6.608385,0.022587,0.832721,0.445513,0.056257,4.080602,0.741549,0.282551,0.028484,0.056880,0.026103,0.000000,0.000000,0.000000,0.079467,0.156508,0.100162,0.000000,0.000000,0.000000,0.000000,0.000000,2.224381,0.000000,0.220264,0.076107,0.000668,0.000000,0.000000,15.099962,0.000000,0.000000,0.002670,0.220753,0.615328,0.066538,0.025146,0.212342
Soil5_CE_201_0_None_T0,0.379560,0.110220,10.650739,0.000000,0.757612,1.141393,0.247000,6.298432,1.647905,0.606542,0.006482,0.035906,0.106150,0.000000,0.000000,0.000000,0.165722,0.431414,0.078505,0.046427,0.000000,0.000000,0.000000,0.000000,4.226319,0.000000,0.378022,0.078987,0.039795,0.000000,0.000000,17.300663,0.000000,0.000000,0.000301,0.267410,1.105969,0.065722,0.195146,0.331776
Soil6_CE_73_0_None_T0,0.187710,0.131360,6.847310,0.026752,0.880815,0.794443,0.255358,3.033265,1.126289,0.620441,0.032471,0.053043,0.070779,0.000000,0.008961,0.000000,0.160145,0.305195,0.059713,0.009238,0.009238,0.000000,0.000000,0.000000,2.735229,0.000000,0.205862,0.025330,0.009238,0.000970,0.000000,12.870903,0.000000,0.000000,0.000000,0.279163,0.741363,0.014411,0.168293,0.425618
Soil9_CE_277_0_None_T0,0.742561,0.335004,13.025855,0.041982,1.151484,1.238658,0.653406,5.285474,2.854975,1.332171,0.084182,0.477275,0.225086,0.015057,0.031699,0.032829,0.337025,0.673594,0.054444,0.019812,0.030233,0.000000,0.000000,0.000000,3.325237,0.000000,0.396739,0.079328,0.055672,0.000000,0.000000,18.059040,0.003566,0.000000,0.000000,0.570987,1.093811,0.053097,0.178785,1.018643
