Well	Nitrite_input	Nitrate_input	Ammonium_input	Soil	Soil_ID	Sample_type	Titration_type	Unit	Concentration_M	Added_ul	Expected_pH	Chloramphenicol	Cycloheximide	Time_point	Ammonia_OD650	Ammonia_mM	NH4_mM	Time_minutes	Time_hours	Time_days	H_mol	Soil_name	Depth	Soil_pH	Moisture_percent	Volume	H_Molarity	H_mM	Time	mcf	Correction_factor_NH4	Replicate	pH	Ave_UnitT0_NH4_mM	Ave_NN_NH4_mM	Correction_factor_by_Unit
G03	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	None	None	Soil1_T0	0	0	0	0	0	0	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T0	1.126642772	1.058996462	2	4.179179179	0.5274228389	0.5738179603	1.087965704
G03	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	None	None	Soil1_T1	0	0	0	255	4.25	0.1770833333	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T1	1.126642772	0.9348312341	2	4.179179179	0.5274228389	0.5738179603	1.087965704
G03	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	None	None	Soil1_T2	0	0	0	495	8.25	0.34375	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T2	1.126642772	0.9355207089	2	4.179179179	0.5274228389	0.5738179603	1.087965704
G03	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	None	None	Soil1_T3	0	0	0	995	16.58333333	0.6909722222	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T3	1.126642772	0.9112002444	2	4.179179179	0.5274228389	0.5738179603	1.087965704
G03	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	None	None	Soil1_T4	0.00975	0	0	1350	22.5	0.9375	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T4	1.126642772	0.9427863465	2	4.179179179	0.5274228389	0.5738179603	1.087965704
G03	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	None	None	Soil1_T5	0.0059	0	0	1720	28.66666667	1.194444444	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T5	1.126642772	0.9153491321	2	4.179179179	0.5274228389	0.5738179603	1.087965704
G03	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	None	None	Soil1_T6	0.0117	0.0003980144221	0.001038284946	2460	41	1.708333333	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T6	1.126642772	0.9261716958	2	4.179179179	0.5274228389	0.5738179603	1.087965704
G03	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	None	None	Soil1_T7	0.0268	0.006838482203	0.01692146876	3180	53	2.208333333	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T7	1.126642772	0.8785208885	2	4.179179179	0.5274228389	0.5738179603	1.087965704
G03	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	None	None	Soil1_T8	0.0301	0.008246470866	0.02022406549	3895	64.91666667	2.704861111	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T8	1.126642772	0.870711119	2	4.179179179	0.5274228389	0.5738179603	1.087965704
G03	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	None	None	Soil1_T9	0.0521	0.01763736939	0.0410784779	5360	89.33333333	3.722222222	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T9	1.126642772	0.8269024696	2	4.179179179	0.5274228389	0.5738179603	1.087965704
