Soil	Soil_ID	Unit	Expected_pH	NO3_mM	Chloramphenicol	Time_point
Soil1	Soil1_Acidic4	-100	8.68	1.69561049	None	Soil1_T0
Soil1	Soil1_Acidic4	-40	7.78	2.140594578	None	Soil1_T0
Soil1	Soil1_Acidic4	-21	6.88	1.916041659	None	Soil1_T0
Soil1	Soil1_Acidic4	-14	5.98	1.933237549	None	Soil1_T0
Soil1	Soil1_Acidic4	-8	5.08	2.033391217	None	Soil1_T0
Soil1	Soil1_Acidic4	6	3.73	1.923924337	None	Soil1_T0
Soil1	Soil1_Acidic4	-100	8.68	2.049452037	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-40	7.78	2.111274068	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-21	6.88	3.042751979	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-14	5.98	2.380444165	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-8	5.08	2.520328852	CHL	Soil1_T0
Soil1	Soil1_Acidic4	6	3.73	2.025112748	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-60	8.23	1.950545346	None	Soil1_T0
Soil1	Soil1_Acidic4	-26	7.33	2.079588596	None	Soil1_T0
Soil1	Soil1_Acidic4	-18	6.43	1.873573324	None	Soil1_T0
Soil1	Soil1_Acidic4	-11	5.53	1.932232017	None	Soil1_T0
Soil1	Soil1_Acidic4	-5	4.63	2.006469331	None	Soil1_T0
Soil1	Soil1_Acidic4	22	3.28	1.849066418	None	Soil1_T0
Soil1	Soil1_Acidic4	-60	8.23	2.329435582	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-26	7.33	2.078548792	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-18	6.43	2.955845401	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-11	5.53	2.43469323	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-5	4.63	2.500914083	CHL	Soil1_T0
Soil1	Soil1_Acidic4	22	3.28	2.069909019	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-100	8.68	1.717851845	None	Soil1_T0
Soil1	Soil1_Acidic4	-40	7.78	2.042180069	None	Soil1_T0
Soil1	Soil1_Acidic4	-21	6.88	1.924717301	None	Soil1_T0
Soil1	Soil1_Acidic4	-14	5.98	1.892633596	None	Soil1_T0
Soil1	Soil1_Acidic4	-8	5.08	1.896326921	None	Soil1_T0
Soil1	Soil1_Acidic4	6	3.73	1.840150177	None	Soil1_T0
Soil1	Soil1_Acidic4	-100	8.68	2.115489964	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-40	7.78	2.046274159	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-21	6.88	2.997503824	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-14	5.98	2.454238501	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-8	5.08	2.433368267	CHL	Soil1_T0
Soil1	Soil1_Acidic4	6	3.73	2.06088817	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-60	8.23	1.935712452	None	Soil1_T0
Soil1	Soil1_Acidic4	-26	7.33	1.989833441	None	Soil1_T0
Soil1	Soil1_Acidic4	-18	6.43	1.856262237	None	Soil1_T0
Soil1	Soil1_Acidic4	-11	5.53	1.981255323	None	Soil1_T0
Soil1	Soil1_Acidic4	-5	4.63	1.90987569	None	Soil1_T0
Soil1	Soil1_Acidic4	22	3.28	1.797765899	None	Soil1_T0
Soil1	Soil1_Acidic4	-60	8.23	2.236290433	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-26	7.33	2.084471695	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-18	6.43	3.00606778	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-11	5.53	2.398233175	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-5	4.63	2.44558926	CHL	Soil1_T0
Soil1	Soil1_Acidic4	22	3.28	2.002572566	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-100	8.68	1.686325455	None	Soil1_T0
Soil1	Soil1_Acidic4	-40	7.78	1.937571996	None	Soil1_T0
Soil1	Soil1_Acidic4	-21	6.88	1.864948082	None	Soil1_T0
Soil1	Soil1_Acidic4	-14	5.98	1.910833272	None	Soil1_T0
Soil1	Soil1_Acidic4	-8	5.08	1.931038775	None	Soil1_T0
Soil1	Soil1_Acidic4	6	3.73	1.838370489	None	Soil1_T0
Soil1	Soil1_Acidic4	-100	8.68	2.119899101	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-40	7.78	1.996695466	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-21	6.88	2.974858438	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-14	5.98	2.372199894	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-8	5.08	2.401680093	CHL	Soil1_T0
Soil1	Soil1_Acidic4	6	3.73	2.000270174	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-60	8.23	1.889159292	None	Soil1_T0
Soil1	Soil1_Acidic4	-26	7.33	2.09962135	None	Soil1_T0
Soil1	Soil1_Acidic4	-18	6.43	1.893419516	None	Soil1_T0
Soil1	Soil1_Acidic4	-11	5.53	1.918848463	None	Soil1_T0
Soil1	Soil1_Acidic4	-5	4.63	1.902596905	None	Soil1_T0
Soil1	Soil1_Acidic4	22	3.28	1.884589352	None	Soil1_T0
Soil1	Soil1_Acidic4	-60	8.23	2.242131523	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-26	7.33	2.035250566	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-18	6.43	2.980316759	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-11	5.53	2.443862375	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-5	4.63	2.412421068	CHL	Soil1_T0
Soil1	Soil1_Acidic4	22	3.28	2.055650449	CHL	Soil1_T0
Soil1	Soil1_Acidic4	0	4.18	1.997679006	None	Soil1_T0
Soil1	Soil1_Acidic4	0	4.18	2.049906565	None	Soil1_T0
Soil1	Soil1_Acidic4	0	4.18	2.320490742	CHL	Soil1_T0
Soil1	Soil1_Acidic4	0	4.18	2.45696077	CHL	Soil1_T0
Soil1	Soil1_Acidic4	0	4.18	1.990221461	None	Soil1_T0
Soil1	Soil1_Acidic4	0	4.18	2.452736684	CHL	Soil1_T0
Soil1	Soil1_Acidic4	-100	8.68	1.824421483	None	Soil1_T1
Soil1	Soil1_Acidic4	-40	7.78	2.000511697	None	Soil1_T1
Soil1	Soil1_Acidic4	-21	6.88	1.891526812	None	Soil1_T1
Soil1	Soil1_Acidic4	-14	5.98	1.932465212	None	Soil1_T1
Soil1	Soil1_Acidic4	-8	5.08	1.911649105	None	Soil1_T1
Soil1	Soil1_Acidic4	6	3.73	1.763281867	None	Soil1_T1
Soil1	Soil1_Acidic4	-100	8.68	2.142932641	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-40	7.78	1.9812613	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-21	6.88	3.020850692	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-14	5.98	2.44258483	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-8	5.08	2.460103361	CHL	Soil1_T1
Soil1	Soil1_Acidic4	6	3.73	2.021766875	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-60	8.23	1.937925848	None	Soil1_T1
Soil1	Soil1_Acidic4	-26	7.33	1.953542466	None	Soil1_T1
Soil1	Soil1_Acidic4	-18	6.43	1.88298534	None	Soil1_T1
Soil1	Soil1_Acidic4	-11	5.53	1.857781619	None	Soil1_T1
Soil1	Soil1_Acidic4	-5	4.63	1.863615291	None	Soil1_T1
Soil1	Soil1_Acidic4	22	3.28	1.855443449	None	Soil1_T1
Soil1	Soil1_Acidic4	-60	8.23	2.228693093	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-26	7.33	1.971607059	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-18	6.43	2.974590445	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-11	5.53	2.396606753	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-5	4.63	2.390847742	CHL	Soil1_T1
Soil1	Soil1_Acidic4	22	3.28	2.09573341	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-100	8.68	1.834290587	None	Soil1_T1
Soil1	Soil1_Acidic4	-40	7.78	1.910138405	None	Soil1_T1
Soil1	Soil1_Acidic4	-21	6.88	1.829723776	None	Soil1_T1
Soil1	Soil1_Acidic4	-14	5.98	1.842497728	None	Soil1_T1
Soil1	Soil1_Acidic4	-8	5.08	1.835565838	None	Soil1_T1
Soil1	Soil1_Acidic4	6	3.73	1.798875153	None	Soil1_T1
Soil1	Soil1_Acidic4	-100	8.68	2.134000137	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-40	7.78	1.952303088	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-21	6.88	2.884927494	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-14	5.98	2.418502172	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-8	5.08	2.411922682	CHL	Soil1_T1
Soil1	Soil1_Acidic4	6	3.73	2.019643928	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-60	8.23	1.894593983	None	Soil1_T1
Soil1	Soil1_Acidic4	-26	7.33	1.875932049	None	Soil1_T1
Soil1	Soil1_Acidic4	-18	6.43	1.880288764	None	Soil1_T1
Soil1	Soil1_Acidic4	-11	5.53	1.857936145	None	Soil1_T1
Soil1	Soil1_Acidic4	-5	4.63	1.842026326	None	Soil1_T1
Soil1	Soil1_Acidic4	22	3.28	1.81380867	None	Soil1_T1
Soil1	Soil1_Acidic4	-60	8.23	2.177172311	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-26	7.33	1.938754144	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-18	6.43	2.908558281	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-11	5.53	2.385677119	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-5	4.63	2.35813751	CHL	Soil1_T1
Soil1	Soil1_Acidic4	22	3.28	2.076855156	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-100	8.68	1.768859219	None	Soil1_T1
Soil1	Soil1_Acidic4	-40	7.78	1.884390139	None	Soil1_T1
Soil1	Soil1_Acidic4	-21	6.88	1.830340399	None	Soil1_T1
Soil1	Soil1_Acidic4	-14	5.98	1.842619528	None	Soil1_T1
Soil1	Soil1_Acidic4	-8	5.08	1.910921608	None	Soil1_T1
Soil1	Soil1_Acidic4	6	3.73	1.751088892	None	Soil1_T1
Soil1	Soil1_Acidic4	-100	8.68	2.10642148	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-40	7.78	1.971538251	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-21	6.88	2.89215906	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-14	5.98	2.416177417	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-8	5.08	2.492424339	CHL	Soil1_T1
Soil1	Soil1_Acidic4	6	3.73	2.001884383	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-60	8.23	1.86323102	None	Soil1_T1
Soil1	Soil1_Acidic4	-26	7.33	2.005515021	None	Soil1_T1
Soil1	Soil1_Acidic4	-18	6.43	1.917498998	None	Soil1_T1
Soil1	Soil1_Acidic4	-11	5.53	1.852495775	None	Soil1_T1
Soil1	Soil1_Acidic4	-5	4.63	1.863961675	None	Soil1_T1
Soil1	Soil1_Acidic4	22	3.28	1.838016699	None	Soil1_T1
Soil1	Soil1_Acidic4	-60	8.23	2.245982508	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-26	7.33	1.980329703	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-18	6.43	2.941935077	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-11	5.53	2.386183342	CHL	Soil1_T1
Soil1	Soil1_Acidic4	-5	4.63	2.421241387	CHL	Soil1_T1
Soil1	Soil1_Acidic4	22	3.28	2.093603491	CHL	Soil1_T1
Soil1	Soil1_Acidic4	0	4.18	1.931091651	None	Soil1_T1
