Strain,Class,Genus/sp,Phenotype
ACM01,Betaproteobacteria,Achromobacter,NAR/NIR
ACM02,Betaproteobacteria,Achromobacter,NAR/NIR
ACM03,Betaproteobacteria,Achromobacter,NAR/NIR
ACM04,Betaproteobacteria,Achromobacter,NAR/NIR
ACM05,Betaproteobacteria,Achromobacter,NAR/NIR
ACV01,Betaproteobacteria,Acidovorax,NAR
ACV02,Betaproteobacteria,Acidovorax,NAR
AGB01,Alphaproteobacteria,Agrobacterium,NIR
ARZ01,Alphaproteobacteria,Rhizobium,NAR/NIR
BKH01,Betaproteobacteria,Burkholderia,NAR
BOR01,Betaproteobacteria,Bordetella,NAR/NIR
CMM01,Betaproteobacteria,Comamonas,NAR/NIR
CMM02,Betaproteobacteria,Comamonas,NAR/NIR
CMM03,Betaproteobacteria,Comamonas,NAR/NIR
DLF01,Betaproteobacteria,Delftia,NAR
ENS01,Alphaproteobacteria,Ensifer,NAR/NIR
ENS02,Alphaproteobacteria,Ensifer,NAR/NIR
ENS03,Alphaproteobacteria,Ensifer,NAR/NIR
ENS04,Alphaproteobacteria,Ensifer,NAR/NIR
ENS05,Alphaproteobacteria,Ensifer,NAR/NIR
ENS06,Alphaproteobacteria,Ensifer,NAR/NIR
ENS07,Alphaproteobacteria,Ensifer,NAR/NIR
ENS08,Alphaproteobacteria,Ensifer,NAR/NIR
ENS09,Alphaproteobacteria,Ensifer,NAR/NIR
ENS10,Alphaproteobacteria,Ensifer,NAR/NIR
ENS11,Alphaproteobacteria,Ensifer,NAR/NIR
ENS12,Alphaproteobacteria,Ensifer,NAR/NIR
ENT01,Gammaproteobacteria,Klebsiella,NAR
ENT02,Gammaproteobacteria,Enterobacter,NAR
ENT03,Gammaproteobacteria,Enterobacter,NAR
PAR01,Alphaproteobacteria,Paracoccus,NAR
PAR19367,Gammaproteobacteria,Paracoccus denitrificans,NAR/NIR
PDM01,Gammaproteobacteria,Pseudomonas,NAR/NIR
PDM02,Gammaproteobacteria,Pseudomonas,NAR/NIR
PDM03,Gammaproteobacteria,Pseudomonas,NAR/NIR
PDM04,Gammaproteobacteria,Pseudomonas,NAR/NIR
PDM05,Gammaproteobacteria,Pseudomonas,NAR/NIR
PDM06,Gammaproteobacteria,Pseudomonas,NAR/NIR
PDM07,Gammaproteobacteria,Pseudomonas,NAR/NIR
PDM08,Gammaproteobacteria,Pseudomonas,NAR/NIR
PDM09,Gammaproteobacteria,Pseudomonas,NAR/NIR
PDM10,Gammaproteobacteria,Pseudomonas,NAR/NIR
PDM11,Gammaproteobacteria,Pseudomonas,NAR
PDM12,Gammaproteobacteria,Pseudomonas,NAR
PDM13,Gammaproteobacteria,Pseudomonas,NIR
PDM14,Gammaproteobacteria,Pseudomonas,NIR
PDM15,Gammaproteobacteria,Pseudomonas,NAR
PDM16,Gammaproteobacteria,Pseudomonas,NAR/NIR
PDM17,Gammaproteobacteria,Pseudomonas,NAR/NIR
PDM18,Gammaproteobacteria,Pseudomonas,NAR/NIR
PDM19,Gammaproteobacteria,Pseudomonas,NAR/NIR
PDM20,Gammaproteobacteria,Pseudomonas,NAR/NIR
PDM21,Gammaproteobacteria,Pseudomonas,NAR/NIR
PDM22,Gammaproteobacteria,Pseudomonas,NAR/NIR
PDM23,Gammaproteobacteria,Pseudomonas,NAR/NIR
PDM24,Gammaproteobacteria,Pseudomonas,NAR/NIR
PDM25,Gammaproteobacteria,Pseudomonas,NAR/NIR
PDM26,Gammaproteobacteria,Pseudomonas,NAR
PDM27,Gammaproteobacteria,Pseudomonas,NAR
PDM28,Gammaproteobacteria,Pseudomonas,NAR
PDM29,Gammaproteobacteria,Pseudomonas,NAR
PDM30,Gammaproteobacteria,Pseudomonas,NAR
PDM31,Gammaproteobacteria,Pseudomonas,NAR
PDM32,Gammaproteobacteria,Pseudomonas,NAR
PDM33,Gammaproteobacteria,Pseudomonas,NAR/NIR
PNT01,Gammaproteobacteria,Pantoea,NAR
PNT02,Gammaproteobacteria,Pantoea,NAR
PNT03,Gammaproteobacteria,Pantoea,NAR
PXM01,Gammaproteobacteria,Pseudoxanthomonas,NAR/NIR
PXM02,Gammaproteobacteria,Pseudoxanthomonas,NAR/NIR
PXM03,Gammaproteobacteria,Pseudoxanthomonas,NIR
PXM04,Gammaproteobacteria,Pseudoxanthomonas,NAR/NIR
PXM05,Gammaproteobacteria,Pseudoxanthomonas,NAR/NIR
RHZ01,Alphaproteobacteria,Rhizobium,NAR/NIR
RHZ02,Alphaproteobacteria,Rhizobium,NAR/NIR
RLT01,Gammaproteobacteria,Raoultella,NAR
STM01,Gammaproteobacteria,Stenotrophomonas,NAR
VRV01,Betaproteobacteria,Variovorax,NAR
XNM01,Gammaproteobacteria,Xanthomonas,NAR/NIR
