sample	spikein_sum	pH
Soil1_CN_A4_0_None_T0	73.839	4.703
Soil10_CE_253_0_None_T0	102.488	5.975
Soil11_CE_234_-10_CHL_T9	55.728	5.697
Soil11_CE_234_-10_None_T9	51.546	5.889
Soil11_CE_234_-100_CHL_T9	74.775	8.550
Soil11_CE_234_-100_None_T9	88.530	8.580
Soil11_CE_234_-14_CHL_T9	52.556	6.249
Soil11_CE_234_-14_None_T9	43.353	6.538
Soil11_CE_234_-18_CHL_T9	57.562	6.778
Soil11_CE_234_-18_None_T9	49.235	6.840
Soil11_CE_234_-25_CHL_T9	46.379	7.294
Soil11_CE_234_-25_None_T9	55.831	7.498
Soil11_CE_234_-3_CHL_T9	83.110	4.808
Soil11_CE_234_-3_None_T9	50.203	4.784
Soil11_CE_234_-5_CHL_T9	53.328	5.000
Soil11_CE_234_-5_None_T9	46.022	5.120
Soil11_CE_234_-50_CHL_T9	43.931	8.099
Soil11_CE_234_-50_None_T9	69.469	8.147
Soil11_CE_234_-8_CHL_T9	238.990	5.348
Soil11_CE_234_-8_None_T9	41.678	5.210
Soil11_CE_234_0_CHL_No_Nitrate_T9	63.651	4.427
Soil11_CE_234_0_CHL_T9	54.010	4.427
Soil11_CE_234_0_None_No_Nitrate_T9	34.365	4.483
Soil11_CE_234_0_None_T0	36.302	6.186
Soil11_CE_234_0_None_T9	40.990	4.483
Soil11_CE_234_3_CHL_T9	65.640	4.231
Soil11_CE_234_3_None_T9	57.421	4.255
Soil12_CE_229_-100_CHL_T9	80.965	8.231
Soil12_CE_229_-100_None_T9	162.154	8.243
Soil12_CE_229_-13_CHL_T9	55.500	7.102
Soil12_CE_229_-13_None_T9	53.235	7.426
Soil12_CE_229_-2_CHL_T9	31.118	5.288
Soil12_CE_229_-2_None_T9	55.194	5.529
Soil12_CE_229_-32_CHL_T9	79.588	8.015
Soil12_CE_229_-32_None_T9	69.076	8.075
Soil12_CE_229_-4_CHL_T9	71.281	5.745
Soil12_CE_229_-4_None_T9	46.230	6.009
Soil12_CE_229_-6_CHL_T9	78.279	6.153
Soil12_CE_229_-6_None_T9	50.038	6.441
Soil12_CE_229_-9_CHL_T9	64.044	6.586
Soil12_CE_229_-9_None_T9	36.770	6.910
Soil12_CE_229_0_CHL_No_Nitrate_T9	49.507	4.773
Soil12_CE_229_0_CHL_T9	65.284	4.773
Soil12_CE_229_0_None_No_Nitrate_T9	47.771	4.837
Soil12_CE_229_0_None_T0	47.396	6.255
Soil12_CE_229_0_None_T9	30.852	4.837
Soil12_CE_229_10_CHL_T9	68.378	3.991
Soil12_CE_229_10_None_T9	64.639	4.051
Soil12_CE_229_3_CHL_T9	36.216	4.592
Soil12_CE_229_3_None_T9	32.642	4.724
Soil12_CE_229_6_CHL_T9	68.571	4.231
Soil12_CE_229_6_None_T9	50.525	4.363
Soil13_CE_251_N7_0_None_T0	53.835	6.435
Soil14_CE_251_N2_-2_CHL_T9	35.737	6.225
Soil14_CE_251_N2_-2_None_T9	19.022	7.222
Soil14_CE_251_N2_-23_CHL_T9	55.986	7.943
Soil14_CE_251_N2_-23_None_T9	18.203	8.279
Soil14_CE_251_N2_-5_CHL_T9	38.853	6.874
Soil14_CE_251_N2_-5_None_T9	25.507	7.667
Soil14_CE_251_N2_-8_CHL_T9	42.621	7.318
Soil14_CE_251_N2_-8_None_T9	29.766	7.895
Soil14_CE_251_N2_-90_CHL_T9	87.765	8.620
Soil14_CE_251_N2_-90_None_T9	48.942	8.630
Soil14_CE_251_N2_0_CHL_No_Nitrate_T9	34.938	5.717
Soil14_CE_251_N2_0_CHL_T9	39.534	5.717
Soil14_CE_251_N2_0_None_No_Nitrate_T9	24.770	6.720
Soil14_CE_251_N2_0_None_T0	36.757	6.545
Soil14_CE_251_N2_0_None_T9	39.392	6.720
Soil14_CE_251_N2_14_CHL_T9	62.010	4.051
Soil14_CE_251_N2_14_None_T9	58.166	4.483
Soil14_CE_251_N2_2_CHL_T9	37.047	5.384
Soil14_CE_251_N2_2_None_T9	25.029	6.177
Soil14_CE_251_N2_22_CHL_T9	139.000	3.595
Soil14_CE_251_N2_22_None_T9	108.530	3.883
Soil14_CE_251_N2_5_CHL_T9	37.295	5.120
Soil14_CE_251_N2_5_None_T9	42.309	5.444
Soil14_CE_251_N2_9_CHL_T9	46.125	4.483
Soil14_CE_251_N2_9_None_T9	40.830	4.748
