,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_-100_None_T9,nan,nan,nan,nan,nan,nan,nan,0.604,2.760,0.213,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,0.000,1.236
Soil11_CE_234_-10_None_T9,nan,nan,nan,nan,nan,nan,nan,32.291,63.454,41.201,0.215,27.365,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,0.096,nan,nan,nan,nan,nan,nan,33.112,141.240
Soil11_CE_234_-14_None_T9,nan,nan,nan,nan,nan,nan,nan,27.968,54.431,32.842,0.000,6.599,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.132,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,20.696,104.838
Soil11_CE_234_-18_None_T9,nan,nan,nan,nan,nan,nan,nan,33.290,64.974,41.878,0.000,8.244,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.066,nan,nan,nan,nan,nan,nan,0.383,nan,nan,nan,nan,nan,nan,45.192,138.963
Soil11_CE_234_-25_None_T9,nan,nan,nan,nan,nan,nan,nan,48.572,103.559,40.039,0.646,12.129,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,0.096,nan,nan,nan,nan,nan,nan,41.426,162.257
Soil11_CE_234_-3_None_T9,nan,nan,nan,nan,nan,nan,nan,28.997,48.709,37.469,1.215,17.277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.066,nan,nan,nan,nan,nan,nan,1.096,nan,nan,nan,nan,nan,nan,39.905,125.795
Soil11_CE_234_-50_None_T9,nan,nan,nan,nan,nan,nan,nan,1.043,7.089,1.011,0.000,0.206,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.199,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,1.506,2.526
Soil11_CE_234_-5_None_T9,nan,nan,nan,nan,nan,nan,nan,32.160,61.636,25.080,0.431,16.677,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.132,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,18.818,100.767
Soil11_CE_234_-8_None_T9,nan,nan,nan,nan,nan,nan,nan,40.615,73.292,25.354,0.646,18.037,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.066,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,23.823,110.631
Soil11_CE_234_0_None_T9,nan,nan,nan,nan,nan,nan,nan,12.202,28.013,22.824,0.215,4.937,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.132,nan,nan,nan,nan,nan,nan,0.192,nan,nan,nan,nan,nan,nan,36.576,74.344
