,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_-100_CHL_T9,nan,nan,43.987,38.340,nan,nan,nan,64.479,62.292,nan,64.662,67.262,nan,nan,nan,nan,nan,36.194,29.200,40.498,nan,42.535,48.611,44.356,nan,nan,nan,34.051,nan,41.182,43.085,38.893,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-10_CHL_T9,nan,nan,30.583,31.046,nan,nan,nan,49.723,46.928,nan,40.845,37.790,nan,nan,nan,nan,nan,23.965,16.808,39.061,nan,28.015,37.517,32.273,nan,nan,nan,25.568,nan,30.019,28.612,23.381,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-14_CHL_T9,nan,nan,27.243,30.399,nan,nan,nan,44.158,41.198,nan,38.245,33.901,nan,nan,nan,nan,nan,20.674,17.766,18.859,nan,27.430,31.245,23.020,nan,nan,nan,20.657,nan,23.854,24.862,25.900,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-18_CHL_T9,nan,nan,30.329,39.454,nan,nan,nan,40.014,48.168,nan,44.711,35.861,nan,nan,nan,nan,nan,24.619,24.434,24.433,nan,30.939,30.039,33.832,nan,nan,nan,22.984,nan,21.315,30.539,26.294,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-25_CHL_T9,nan,nan,26.571,22.058,nan,nan,nan,33.720,36.853,nan,32.149,43.196,nan,nan,nan,nan,nan,17.802,21.394,15.285,nan,27.212,26.723,22.331,nan,nan,nan,21.589,nan,20.590,19.634,22.721,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-3_CHL_T9,nan,nan,42.044,43.807,nan,nan,nan,58.341,57.064,nan,50.040,58.908,nan,nan,nan,nan,nan,30.503,22.993,33.376,nan,40.650,38.992,38.389,nan,nan,nan,26.689,nan,38.128,37.704,33.077,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-50_CHL_T9,nan,nan,22.096,19.448,nan,nan,nan,35.474,34.511,nan,33.097,38.874,nan,nan,nan,nan,nan,18.016,15.579,13.243,nan,20.983,18.872,25.488,nan,nan,nan,17.806,nan,21.452,22.207,22.880,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-5_CHL_T9,nan,nan,32.807,35.844,nan,nan,nan,43.410,43.908,nan,49.589,43.180,nan,nan,nan,nan,nan,24.642,24.147,28.612,nan,30.813,26.624,27.552,nan,nan,nan,22.162,nan,27.329,23.169,25.339,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_-8_CHL_T9,nan,nan,129.715,139.521,nan,nan,nan,186.539,181.822,nan,174.425,185.032,nan,nan,nan,nan,nan,107.643,106.094,114.764,nan,118.916,132.540,136.839,nan,nan,nan,102.938,nan,116.042,113.986,123.604,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_0_CHL_T9,nan,nan,28.074,24.880,nan,nan,nan,40.841,43.006,nan,53.747,37.444,nan,nan,nan,nan,nan,23.463,18.980,17.821,nan,34.472,35.681,28.404,nan,nan,nan,26.713,nan,27.857,24.680,24.255,nan,nan,nan,nan,nan,nan,nan,nan
Soil11_CE_234_3_CHL_T9,nan,nan,38.314,39.748,nan,nan,nan,52.870,49.592,nan,48.342,57.773,nan,nan,nan,nan,nan,28.703,26.147,22.989,nan,43.556,35.841,34.663,nan,nan,nan,28.846,nan,36.858,32.447,33.328,nan,nan,nan,nan,nan,nan,nan,nan
Soil12_CE_229_-100_CHL_T9,nan,nan,46.312,39.488,nan,nan,nan,70.192,58.971,nan,55.945,57.646,nan,nan,nan,nan,nan,33.884,38.045,35.373,nan,44.253,37.862,41.034,nan,nan,nan,29.897,nan,40.987,39.865,36.569,nan,nan,nan,nan,nan,nan,nan,nan
Soil12_CE_229_-13_CHL_T9,nan,nan,26.567,28.748,nan,nan,nan,42.155,43.873,nan,42.199,39.497,nan,nan,nan,nan,nan,25.708,27.559,24.909,nan,30.827,27.689,31.992,nan,nan,nan,21.904,nan,30.332,26.067,31.812,nan,nan,nan,nan,nan,nan,nan,nan
Soil12_CE_229_-2_CHL_T9,nan,nan,15.375,15.546,nan,nan,nan,22.056,23.995,nan,26.058,19.918,nan,nan,nan,nan,nan,11.391,10.187,15.087,nan,15.310,14.783,17.018,nan,nan,nan,10.522,nan,12.945,11.393,11.810,nan,nan,nan,nan,nan,nan,nan,nan
Soil12_CE_229_-32_CHL_T9,nan,nan,43.993,33.196,nan,nan,nan,65.321,61.664,nan,59.248,65.851,nan,nan,nan,nan,nan,36.669,30.216,40.593,nan,39.956,36.658,36.002,nan,nan,nan,35.088,nan,38.632,39.335,38.067,nan,nan,nan,nan,nan,nan,nan,nan
Soil12_CE_229_-4_CHL_T9,nan,nan,35.130,27.779,nan,nan,nan,53.312,52.490,nan,53.888,44.738,nan,nan,nan,nan,nan,29.208,25.285,26.259,nan,40.289,37.859,33.138,nan,nan,nan,26.830,nan,34.197,36.964,34.022,nan,nan,nan,nan,nan,nan,nan,nan
Soil12_CE_229_-6_CHL_T9,nan,nan,42.223,39.469,nan,nan,nan,51.534,62.259,nan,57.284,52.307,nan,nan,nan,nan,nan,34.181,36.096,32.023,nan,38.047,43.538,41.477,nan,nan,nan,30.167,nan,31.199,36.455,32.225,nan,nan,nan,nan,nan,nan,nan,nan
Soil12_CE_229_-9_CHL_T9,nan,nan,34.171,30.678,nan,nan,nan,45.912,42.239,nan,38.035,41.571,nan,nan,nan,nan,nan,29.177,25.256,35.072,nan,30.923,34.661,26.589,nan,nan,nan,25.803,nan,29.445,33.455,34.828,nan,nan,nan,nan,nan,nan,nan,nan
Soil12_CE_229_0_CHL_T9,nan,nan,31.126,44.991,nan,nan,nan,50.644,51.525,nan,41.868,44.601,nan,nan,nan,nan,nan,26.524,24.541,19.586,nan,30.493,44.117,34.886,nan,nan,nan,28.614,nan,33.160,34.184,32.460,nan,nan,nan,nan,nan,nan,nan,nan
Soil12_CE_229_10_CHL_T9,nan,nan,33.512,36.294,nan,nan,nan,51.052,48.258,nan,46.278,43.232,nan,nan,nan,nan,nan,25.512,32.670,27.593,nan,44.553,39.679,40.780,nan,nan,nan,28.774,nan,30.168,29.631,30.631,nan,nan,nan,nan,nan,nan,nan,nan
Soil12_CE_229_3_CHL_T9,nan,nan,17.263,15.975,nan,nan,nan,24.351,24.879,nan,24.609,21.174,nan,nan,nan,nan,nan,15.322,16.862,16.856,nan,15.622,17.632,17.564,nan,nan,nan,13.817,nan,13.582,12.854,14.371,nan,nan,nan,nan,nan,nan,nan,nan
Soil12_CE_229_6_CHL_T9,nan,nan,36.817,17.798,nan,nan,nan,47.633,50.984,nan,45.181,54.150,nan,nan,nan,nan,nan,27.989,29.543,24.433,nan,33.685,39.710,36.508,nan,nan,nan,27.123,nan,32.272,26.090,30.947,nan,nan,nan,nan,nan,nan,nan,nan
Soil14_CE_251_N2_-23_CHL_T9,nan,nan,26.715,24.021,nan,nan,nan,41.462,44.500,nan,38.015,40.495,nan,nan,nan,nan,nan,23.136,22.361,25.829,nan,25.399,37.749,29.727,nan,nan,nan,19.165,nan,24.416,23.477,27.683,nan,nan,nan,nan,nan,nan,nan,nan
Soil14_CE_251_N2_-2_CHL_T9,nan,nan,15.841,19.819,nan,nan,nan,20.893,25.681,nan,24.723,23.512,nan,nan,nan,nan,nan,14.132,10.321,11.289,nan,19.861,15.564,17.913,nan,nan,nan,13.448,nan,16.579,18.365,16.312,nan,nan,nan,nan,nan,nan,nan,nan
Soil14_CE_251_N2_-5_CHL_T9,nan,nan,16.801,17.322,nan,nan,nan,30.338,24.599,nan,29.414,28.830,nan,nan,nan,nan,nan,15.206,17.267,13.570,nan,16.646,19.138,19.517,nan,nan,nan,13.920,nan,17.840,18.837,16.078,nan,nan,nan,nan,nan,nan,nan,nan
Soil14_CE_251_N2_-8_CHL_T9,nan,nan,18.902,21.049,nan,nan,nan,28.884,26.732,nan,29.441,33.360,nan,nan,nan,nan,nan,16.072,18.626,18.179,nan,23.165,25.055,20.837,nan,nan,nan,16.754,nan,18.623,23.075,16.100,nan,nan,nan,nan,nan,nan,nan,nan
