,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_-100_None_T9,20.350,4.150,242.750,0.000,8.590,18.020,10.190,91.200,5.680,21.570,0.000,0.820,84.730,2.330,0.000,0.000,11.270,0.200,0.000,0.000,0.000,0.000,0.000,0.000,141.660,0.000,0.000,129.710,2.900,0.000,0.000,500.950,0.680,0.000,0.000,173.960,23.070,0.650,0.000,0.000
Soil11_CE_234_-10_None_T9,28.990,12.930,582.400,0.000,30.760,51.380,9.240,537.780,9.380,48.440,0.000,0.530,0.000,0.710,2.230,0.000,14.690,0.380,0.000,0.000,0.000,0.000,0.000,0.000,165.510,0.000,0.000,4.150,3.070,0.000,0.000,1457.430,0.890,0.000,0.000,33.430,169.040,3.940,2.020,0.000
Soil11_CE_234_-14_None_T9,20.300,21.950,566.470,0.000,23.350,40.100,7.780,487.110,5.970,41.170,0.000,0.370,0.000,0.400,1.130,0.000,11.800,0.270,0.000,0.000,0.000,0.000,0.000,0.000,141.250,0.000,0.000,2.860,3.130,0.000,0.000,1200.080,0.970,0.000,0.000,25.660,59.250,5.690,1.800,0.000
Soil11_CE_234_-18_None_T9,22.490,21.370,549.680,0.000,19.510,43.910,6.380,479.360,8.550,40.060,0.000,2.010,0.000,0.360,1.600,0.000,10.960,0.200,0.000,0.000,0.000,0.000,0.000,0.000,145.270,0.000,0.000,1.790,2.540,0.000,0.000,1042.390,0.260,0.000,0.000,24.120,67.820,9.850,0.990,0.000
Soil11_CE_234_-25_None_T9,26.910,70.080,577.070,0.000,19.490,71.840,9.930,352.890,5.960,39.190,0.000,1.230,6.130,1.180,1.020,0.000,16.680,0.350,0.000,0.000,0.000,0.000,0.000,0.000,162.400,0.000,0.000,4.470,3.260,0.000,0.000,947.240,0.510,0.000,0.000,40.990,93.640,17.310,3.290,0.000
Soil11_CE_234_-3_None_T9,26.200,6.260,499.260,0.000,37.650,55.400,4.440,440.200,5.340,49.740,0.000,1.060,0.000,0.510,0.960,0.000,16.070,0.160,0.000,0.000,0.000,0.000,0.000,0.000,183.210,0.000,0.000,5.010,5.540,0.000,0.000,1568.460,1.120,0.000,0.000,31.670,136.770,4.990,0.310,0.000
Soil11_CE_234_-50_None_T9,21.120,4.230,342.150,0.000,11.990,31.340,14.820,166.080,4.770,32.680,0.000,1.440,5.110,0.770,0.000,0.000,10.560,0.000,0.000,0.000,0.000,0.000,0.000,0.000,137.520,0.000,0.000,83.950,4.910,0.000,0.000,608.650,0.430,0.000,0.000,115.180,36.020,1.590,0.610,0.000
Soil11_CE_234_-5_None_T9,24.770,5.310,409.590,0.000,29.380,43.380,11.100,398.200,7.890,38.870,0.000,0.390,0.000,1.200,0.640,0.000,14.930,0.290,0.000,0.000,0.000,0.000,0.000,0.000,155.910,0.000,0.000,3.850,1.720,0.000,0.000,1385.860,1.000,0.000,0.000,30.620,90.080,2.570,0.000,0.000
Soil11_CE_234_-8_None_T9,20.910,6.290,417.150,0.000,25.480,40.910,8.260,473.260,4.270,41.200,0.000,0.540,0.000,1.490,1.350,0.000,8.570,0.490,0.000,0.000,0.000,0.000,0.000,0.000,137.930,0.000,0.000,5.250,2.020,0.000,0.000,1295.850,0.440,0.000,0.000,24.870,124.320,2.690,1.230,0.000
Soil11_CE_234_0_None_T9,24.300,8.890,439.080,0.000,29.790,41.500,9.210,247.860,8.730,34.770,0.000,1.250,0.000,1.730,2.860,0.000,15.370,1.270,0.000,0.000,0.000,0.000,0.000,0.000,129.040,0.000,0.000,2.600,4.100,0.000,0.000,1190.350,0.210,0.000,0.000,27.850,61.730,3.200,2.110,0.000
