,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_-100_None_T9,nan,0.196,65.378,57.267,nan,nan,1.618,90.926,113.994,6.982,70.408,57.069,1.859,nan,0.000,0.000,0.580,58.330,46.466,38.593,0.000,56.648,51.300,50.762,30.418,nan,6.945,32.679,nan,40.993,48.048,40.079,0.000,nan,nan,nan,2.423,nan,0.451,7.771
Soil11_CE_234_-10_None_T9,nan,0.587,118.526,27.151,nan,nan,78.209,336.829,370.485,107.663,58.232,153.324,74.347,nan,0.000,0.000,22.877,73.379,26.826,27.817,1.443,25.343,21.958,28.889,158.189,nan,14.813,19.683,nan,23.074,28.455,25.807,0.180,nan,nan,nan,48.736,nan,37.841,214.144
Soil11_CE_234_-14_None_T9,nan,0.587,142.971,26.096,nan,nan,85.054,323.716,382.859,101.139,57.749,108.130,65.452,nan,0.000,0.000,20.780,74.027,23.438,15.814,1.129,24.582,23.138,23.686,162.898,nan,14.474,21.709,nan,22.186,19.709,22.975,0.180,nan,nan,nan,51.838,nan,22.125,186.461
Soil11_CE_234_-18_None_T9,nan,0.489,143.567,33.169,nan,nan,86.831,372.558,397.464,115.039,61.112,136.956,78.888,nan,0.000,3.258,30.751,89.161,25.683,20.156,3.515,25.811,20.258,18.295,149.085,nan,14.604,21.324,nan,23.242,24.846,24.722,0.757,nan,nan,nan,62.818,nan,49.519,227.626
Soil11_CE_234_-25_None_T9,nan,0.782,136.861,47.701,nan,nan,134.816,452.419,436.287,116.603,79.759,179.407,101.099,nan,0.000,4.789,44.942,98.386,27.074,16.156,2.340,30.875,32.538,26.203,137.926,nan,19.916,23.229,nan,20.902,23.613,34.494,2.878,nan,nan,nan,90.617,nan,44.590,263.414
Soil11_CE_234_-3_None_T9,nan,0.489,100.570,30.127,nan,nan,64.620,286.032,326.441,90.722,59.484,141.833,65.022,nan,0.000,1.000,17.081,73.865,26.798,25.692,5.000,30.168,27.162,30.374,127.065,nan,17.954,22.668,nan,26.347,31.559,32.246,0.090,nan,nan,nan,44.905,nan,41.309,190.979
Soil11_CE_234_-50_None_T9,nan,0.293,66.993,27.184,nan,nan,4.219,87.120,123.489,9.937,51.158,57.836,1.967,nan,0.000,0.686,1.468,64.943,27.213,43.798,1.613,35.688,36.992,33.966,41.690,nan,8.075,29.225,nan,32.929,39.355,37.299,0.270,nan,nan,nan,4.177,nan,4.269,12.598
Soil11_CE_234_-5_None_T9,nan,0.489,86.138,28.324,nan,nan,52.175,289.721,306.252,68.275,56.269,134.387,64.770,nan,0.378,0.000,19.155,63.796,19.064,16.361,2.227,23.639,25.786,15.701,109.545,nan,11.160,19.100,nan,22.548,25.494,26.089,0.088,nan,nan,nan,43.916,nan,20.247,159.699
Soil11_CE_234_-8_None_T9,nan,0.685,99.518,24.301,nan,nan,65.064,356.694,367.117,75.546,56.675,148.682,85.029,nan,0.000,1.000,20.410,59.162,19.901,25.875,1.000,20.376,25.499,26.198,131.250,nan,11.924,22.188,nan,22.051,19.541,18.891,0.000,nan,nan,nan,57.872,nan,29.037,173.669
Soil11_CE_234_0_None_T9,nan,0.587,74.896,26.126,nan,nan,31.860,147.642,173.762,54.758,40.449,66.232,24.608,nan,0.000,1.000,12.693,51.966,24.784,20.551,0.608,20.468,25.838,27.846,78.910,nan,14.254,15.638,nan,16.990,18.297,17.822,0.000,nan,nan,nan,20.760,nan,37.052,112.695
Soil11_CE_234_3_None_T9,nan,0.293,84.264,33.876,nan,nan,22.210,102.025,146.291,29.616,48.542,54.570,8.622,nan,0.000,0.000,2.806,59.513,30.220,27.810,2.170,31.636,29.896,33.483,61.697,nan,13.443,26.169,nan,30.617,34.467,33.040,0.270,nan,nan,nan,8.365,nan,7.264,38.845
Soil12_CE_229_-100_None_T9,nan,0.685,127.741,88.489,nan,nan,6.616,165.751,247.144,25.962,125.975,112.208,3.507,nan,0.000,0.000,0.677,121.601,73.742,80.890,3.119,77.575,83.290,81.748,80.638,nan,12.317,71.750,nan,68.698,75.089,81.591,0.360,nan,nan,nan,11.259,nan,4.041,29.395
Soil12_CE_229_-13_None_T9,nan,0.782,81.769,33.701,nan,nan,79.653,220.099,282.774,98.999,62.808,120.037,26.636,nan,0.000,51.564,21.673,320.336,29.124,22.510,0.000,21.877,25.514,24.198,199.908,nan,86.843,18.159,nan,24.855,21.319,27.772,8.190,nan,nan,nan,58.100,nan,22.694,172.004
Soil12_CE_229_-2_None_T9,nan,0.489,97.933,25.425,nan,nan,52.413,153.984,197.440,119.185,60.493,90.454,25.972,nan,4.921,8.922,14.792,176.159,38.463,26.316,5.211,28.286,24.963,23.478,146.345,nan,39.246,19.510,nan,22.373,23.156,37.504,8.026,nan,nan,nan,34.947,nan,49.679,175.804
