,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_-100_CHL_T9,24.010,5.630,382.160,0.000,24.550,42.740,17.200,145.600,7.290,30.270,0.000,0.380,0.000,1.230,1.070,0.000,14.030,1.770,0.000,0.000,0.000,0.000,0.000,0.000,176.410,0.000,0.000,1.700,3.890,0.000,0.000,1087.240,0.580,0.000,0.000,27.770,40.780,0.560,0.560,0.000
Soil11_CE_234_-10_CHL_T9,18.840,5.030,334.190,0.000,23.370,33.250,10.390,147.150,5.650,27.300,0.000,0.810,0.000,0.840,1.210,0.000,10.420,0.140,0.000,0.000,0.000,0.000,0.000,0.000,136.180,0.000,0.000,1.510,1.990,0.000,0.000,1107.290,0.490,0.000,0.000,26.290,38.100,0.570,0.530,0.000
Soil11_CE_234_-14_CHL_T9,14.780,6.130,325.790,0.000,19.110,29.190,11.300,134.790,3.870,29.510,0.000,0.840,0.000,0.290,1.250,0.000,8.700,0.300,0.000,0.000,0.000,0.000,0.000,0.000,113.420,0.000,0.000,0.480,2.530,0.000,0.000,907.050,0.260,0.000,0.000,20.670,35.720,1.720,0.560,0.000
Soil11_CE_234_-18_CHL_T9,18.170,5.160,364.490,0.000,22.030,39.560,11.310,159.990,5.990,31.510,0.000,0.000,0.000,1.230,0.480,0.000,13.770,0.420,0.000,0.000,0.000,0.000,0.000,0.000,134.700,0.000,0.000,2.110,2.700,0.000,0.000,1022.130,0.140,0.000,0.000,21.320,41.780,0.710,0.700,0.000
Soil11_CE_234_-25_CHL_T9,16.860,6.500,329.800,0.000,17.470,30.340,14.920,150.510,5.880,25.590,0.000,0.360,0.000,0.530,0.700,0.000,9.820,0.200,0.000,0.000,0.000,0.000,0.000,0.000,123.010,0.000,0.000,1.250,3.730,0.000,0.000,962.050,0.540,0.000,0.000,21.840,37.040,0.640,0.560,0.000
Soil11_CE_234_-3_CHL_T9,26.900,7.040,439.550,0.000,30.820,45.300,13.700,177.050,4.240,41.360,0.000,0.380,0.000,1.410,2.850,0.000,14.110,1.210,0.000,0.000,0.000,0.000,0.000,0.000,168.810,0.000,0.000,2.120,2.990,0.000,0.000,1498.220,0.170,0.000,0.000,35.500,37.950,1.410,2.770,0.000
Soil11_CE_234_-50_CHL_T9,18.740,5.240,352.790,0.000,25.730,38.040,20.070,128.140,3.990,26.200,0.000,0.390,0.000,0.440,1.910,0.000,9.390,0.870,0.000,0.000,0.000,0.000,0.000,0.000,150.050,0.000,0.000,2.380,2.640,0.000,0.000,1320.860,0.550,0.000,0.000,24.820,28.860,0.650,1.080,0.000
Soil11_CE_234_-5_CHL_T9,19.910,5.540,330.890,0.000,24.700,36.780,8.800,133.970,2.920,32.980,0.000,0.190,0.000,1.590,2.150,0.000,8.400,0.620,0.000,0.000,0.000,0.000,0.000,0.000,136.610,0.000,0.000,4.020,2.930,0.000,0.000,1147.660,0.650,0.000,0.000,24.890,30.440,0.650,0.000,0.000
Soil11_CE_234_-8_CHL_T9,91.980,21.490,1450.110,0.000,96.510,156.980,41.020,652.040,15.800,128.160,0.000,3.840,0.000,3.740,8.420,0.000,46.750,1.510,0.000,0.000,0.000,0.000,0.000,0.000,584.160,0.000,0.000,11.180,12.540,0.000,0.000,4878.590,1.850,0.000,0.000,110.730,140.130,3.500,1.330,0.000
Soil11_CE_234_0_CHL_T9,19.020,8.680,375.320,0.000,26.690,35.960,9.140,151.580,3.700,29.180,0.000,1.130,0.000,0.530,2.940,0.000,10.040,0.930,0.000,0.000,0.000,0.000,0.000,0.000,117.400,0.000,0.000,1.890,2.100,0.000,0.000,1044.760,0.450,0.000,0.000,24.450,25.330,0.700,0.000,0.000
Soil11_CE_234_3_CHL_T9,18.040,8.370,417.420,0.000,26.920,45.690,15.210,187.520,4.850,37.030,0.000,0.940,0.000,0.990,1.980,0.000,11.450,0.170,0.000,0.000,0.000,0.000,0.000,0.000,107.790,0.000,0.000,2.070,2.820,0.000,0.000,1216.300,0.450,0.000,0.000,31.120,22.600,0.890,0.000,0.000
Soil12_CE_229_-100_CHL_T9,23.310,7.120,537.080,0.000,30.330,29.510,2.620,64.950,6.220,35.580,0.000,0.760,0.000,0.000,0.000,0.000,27.720,1.820,0.000,0.000,0.000,0.000,0.000,0.000,68.750,0.000,0.000,4.400,10.110,0.000,0.000,677.600,0.000,0.000,3.100,60.460,24.230,2.680,1.880,0.110
Soil12_CE_229_-13_CHL_T9,19.270,6.220,529.100,0.000,33.600,28.930,2.600,75.980,6.480,46.610,0.000,0.780,0.000,0.000,1.140,0.000,16.040,1.720,0.000,0.000,0.000,0.000,0.000,0.000,60.560,0.000,0.000,1.570,11.720,0.000,0.000,661.280,0.000,0.000,3.440,56.620,22.700,2.350,0.560,0.450
Soil12_CE_229_-2_CHL_T9,17.190,4.400,439.530,0.000,21.710,18.170,1.410,60.040,4.280,34.740,0.000,0.000,0.000,0.330,0.610,0.000,16.500,1.340,0.000,0.000,0.000,0.000,0.000,0.000,37.480,0.000,0.000,1.770,8.570,0.000,0.000,626.430,0.000,0.000,1.250,43.400,13.150,1.900,0.260,0.310
Soil12_CE_229_-32_CHL_T9,22.310,5.630,577.890,0.000,28.610,31.970,1.510,83.260,4.670,62.500,0.000,1.120,0.000,0.000,0.000,0.000,28.850,2.160,0.000,0.000,0.000,0.000,0.000,0.000,76.840,0.000,0.000,2.770,15.300,0.000,0.000,611.700,0.000,0.000,3.800,58.750,30.530,2.780,0.780,0.200
Soil12_CE_229_-4_CHL_T9,18.450,8.110,549.580,0.000,41.730,22.660,1.290,64.500,4.490,50.100,0.000,1.590,0.000,0.000,2.810,0.000,21.110,2.960,0.000,0.000,0.000,0.000,0.000,0.000,60.130,0.000,0.000,5.280,10.140,0.000,0.000,880.290,0.000,0.000,2.710,58.250,25.320,2.300,0.790,0.990
Soil12_CE_229_-6_CHL_T9,19.960,7.240,577.330,0.000,44.260,33.560,2.460,71.810,3.690,55.270,0.000,1.250,0.000,1.000,0.250,0.000,25.790,3.540,0.000,0.000,0.000,0.000,0.000,0.000,62.520,0.000,0.000,7.760,11.590,0.000,0.000,919.450,0.000,0.000,3.230,64.760,28.870,2.840,1.410,0.380
Soil12_CE_229_-9_CHL_T9,22.410,4.960,539.320,0.000,31.490,29.600,1.580,64.240,3.590,48.960,0.000,0.750,0.000,0.570,0.690,0.000,23.350,2.100,0.000,0.000,0.000,0.000,0.000,0.000,57.310,0.000,0.000,3.140,11.090,0.000,0.000,744.240,0.000,0.000,2.410,59.400,24.890,2.840,2.430,0.370
Soil12_CE_229_0_CHL_T9,19.420,13.410,551.200,0.000,32.500,28.620,2.420,68.550,3.670,49.450,0.000,0.300,0.000,0.130,1.220,0.000,18.200,3.460,0.000,0.000,0.000,0.000,0.000,0.000,66.130,0.000,0.000,4.760,12.530,0.000,0.000,891.750,0.000,0.000,2.240,66.740,22.240,1.310,2.530,0.530
Soil12_CE_229_10_CHL_T9,13.510,3.070,321.950,0.000,32.390,16.350,1.870,47.450,1.920,33.970,0.000,2.890,0.000,0.000,0.260,0.000,7.600,0.870,0.000,0.000,0.000,0.000,0.000,0.000,43.490,0.000,0.000,3.010,7.290,0.000,0.000,459.950,0.000,0.000,0.230,47.340,8.660,0.520,2.390,0.420
Soil12_CE_229_3_CHL_T9,18.810,6.790,462.880,0.000,22.750,22.050,0.980,64.640,3.470,41.490,0.000,1.210,0.000,0.330,1.000,0.000,14.180,2.540,0.000,0.000,0.000,0.000,0.000,0.000,43.330,0.000,0.000,2.640,9.940,0.000,0.000,685.620,0.000,0.000,0.650,49.320,15.970,1.600,0.520,0.290
Soil12_CE_229_6_CHL_T9,17.430,7.760,427.290,0.000,31.310,27.590,1.880,61.610,5.580,39.840,0.000,1.810,0.000,0.000,1.300,0.000,13.040,2.330,0.000,0.000,0.000,0.000,0.000,0.000,49.580,0.000,0.000,3.870,8.420,0.000,0.000,714.310,0.000,0.000,0.690,53.810,15.010,1.210,1.200,0.000
Soil14_CE_251_N2_-23_CHL_T9,18.070,7.450,504.530,0.000,22.160,38.400,0.660,48.250,3.350,46.960,0.000,0.000,0.160,0.000,0.000,0.000,30.490,8.450,0.000,0.000,0.000,0.000,0.000,0.000,28.510,0.000,0.000,4.450,14.230,0.000,0.000,491.970,0.000,0.000,4.300,45.670,35.630,0.700,0.000,0.630
Soil14_CE_251_N2_-2_CHL_T9,15.800,10.640,424.340,0.000,18.580,26.680,0.830,45.100,1.860,38.940,0.000,0.000,0.000,0.000,0.720,0.000,17.530,7.270,0.000,0.000,0.000,0.000,0.000,0.000,21.600,0.000,0.000,4.010,10.540,0.000,0.000,580.890,0.000,0.000,1.130,48.800,21.400,0.000,2.520,1.540
Soil14_CE_251_N2_-5_CHL_T9,15.800,6.680,430.480,0.000,15.320,27.820,0.880,46.860,0.770,41.630,0.000,0.000,0.000,0.000,0.000,0.000,22.270,4.300,0.000,0.000,0.000,0.000,0.000,0.000,26.760,0.000,0.000,4.770,10.880,0.000,0.000,610.830,0.000,0.000,3.350,38.410,23.100,1.090,0.840,0.380
Soil14_CE_251_N2_-8_CHL_T9,13.390,6.030,461.600,0.000,13.550,27.830,0.090,43.710,1.610,42.770,0.000,0.000,0.000,0.000,0.000,0.000,23.310,7.380,0.000,0.000,0.000,0.000,0.000,0.000,27.190,0.000,0.000,3.090,12.540,0.000,0.000,614.490,0.000,0.000,3.980,47.720,26.440,0.940,0.250,0.420
Soil14_CE_251_N2_-90_CHL_T9,27.760,6.760,543.390,0.000,18.190,38.150,0.120,33.720,1.980,40.820,0.000,0.000,0.000,0.000,0.000,0.000,24.120,4.900,0.000,0.000,0.000,0.000,0.000,0.000,26.530,0.000,0.000,7.000,15.730,0.000,0.000,489.760,0.000,0.000,2.780,50.720,36.410,1.790,0.430,0.380
Soil14_CE_251_N2_0_CHL_T9,15.980,10.020,439.750,0.000,19.080,27.360,0.480,54.970,0.550,44.570,0.000,0.000,0.000,0.000,0.000,0.000,20.310,7.690,0.000,0.000,0.000,0.000,0.000,0.000,24.360,0.000,0.000,5.900,10.130,0.000,0.000,625.680,0.000,0.000,4.090,46.010,28.530,1.210,0.590,0.920
Soil14_CE_251_N2_14_CHL_T9,20.870,10.960,509.150,0.000,20.560,33.630,0.000,43.320,2.190,46.380,0.000,0.000,0.000,0.000,0.000,0.000,14.040,4.140,0.000,0.000,0.000,0.000,0.000,0.000,27.120,0.000,0.000,6.440,23.330,0.000,0.000,534.210,0.000,0.000,0.840,60.590,20.130,1.470,1.520,0.870
Soil14_CE_251_N2_22_CHL_T9,19.080,5.150,528.120,0.000,21.450,34.150,1.350,51.010,1.810,42.770,0.000,0.000,0.160,0.000,0.000,0.000,10.550,4.900,0.000,0.000,0.000,0.000,0.000,0.000,19.330,0.000,0.000,16.410,17.100,0.000,0.000,530.660,0.000,0.000,0.480,74.460,23.180,0.160,0.030,0.240
Soil14_CE_251_N2_2_CHL_T9,18.140,14.000,518.850,0.000,19.560,31.970,0.790,57.720,1.170,50.740,0.000,0.000,0.000,0.000,1.200,0.000,27.120,7.230,0.000,0.000,0.000,0.000,0.000,0.000,24.430,0.000,0.000,5.510,14.540,0.000,0.000,723.660,0.000,0.000,3.370,61.880,31.000,1.070,0.000,1.870
Soil14_CE_251_N2_5_CHL_T9,14.580,8.560,448.790,0.000,18.330,30.360,0.630,47.460,1.630,43.670,0.000,0.000,0.000,0.000,0.510,0.000,18.690,4.900,0.000,0.000,0.000,0.000,0.000,0.000,23.640,0.000,0.000,2.810,8.960,0.000,0.000,608.990,0.000,0.000,1.570,42.540,26.630,0.410,1.070,0.440
Soil14_CE_251_N2_9_CHL_T9,18.070,11.780,593.060,0.000,24.430,37.920,0.860,44.530,2.630,54.110,0.000,0.000,0.000,0.000,0.740,0.000,23.180,3.360,0.000,0.000,0.000,0.000,0.000,0.000,21.620,0.000,0.000,2.840,16.280,0.000,0.000,697.940,0.000,0.000,1.590,60.960,33.170,1.010,0.000,2.210
Soil15_CE_251_N5_-100_CHL_T9,26.400,17.160,733.820,0.000,18.260,58.360,0.520,29.150,1.560,52.780,0.000,0.660,1.380,0.980,0.240,0.000,19.930,16.980,0.000,0.000,0.000,0.000,0.000,0.000,11.010,0.000,0.000,14.250,21.820,0.000,0.000,1028.480,0.000,0.000,2.520,66.520,94.940,0.550,0.000,0.900
Soil15_CE_251_N5_-65_CHL_T9,35.240,17.600,849.080,0.000,31.020,66.650,0.230,49.810,1.880,65.040,0.000,0.000,5.330,1.390,0.000,0.000,24.090,8.440,0.000,0.000,0.000,0.000,0.000,0.000,16.960,0.000,0.000,15.890,20.340,0.000,0.000,712.760,0.000,0.000,6.090,57.440,83.170,1.160,3.610,1.730
Soil15_CE_251_N5_0_CHL_T9,35.980,16.820,839.320,0.000,19.350,73.740,0.120,78.130,0.730,62.160,0.000,0.200,3.040,1.080,0.490,0.000,28.520,14.720,0.000,0.000,0.000,0.000,0.000,0.000,14.070,0.000,0.000,14.450,25.930,0.000,0.000,1057.710,0.000,0.000,6.020,79.120,100.760,0.290,3.710,1.490
