,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_-100_CHL_T9,nan,0.587,85.639,40.405,nan,nan,12.729,108.409,132.198,21.589,65.783,71.552,4.347,nan,0.000,0.000,3.098,72.099,32.801,40.498,1.216,42.535,48.611,44.829,81.443,nan,9.638,34.111,nan,41.182,43.085,42.288,0.000,nan,nan,nan,7.515,nan,7.631,24.991
Soil11_CE_234_-10_CHL_T9,nan,0.978,61.754,31.880,nan,nan,8.224,84.066,111.697,16.756,42.270,42.217,3.276,nan,0.000,0.000,4.046,57.879,19.634,42.304,2.608,28.015,37.517,32.273,48.699,nan,12.057,25.798,nan,30.019,28.745,24.147,0.000,nan,nan,nan,6.591,nan,5.490,23.474
Soil11_CE_234_-14_CHL_T9,nan,0.587,55.810,30.399,nan,nan,8.392,75.810,107.160,16.052,38.689,37.618,3.163,nan,0.000,1.000,2.921,51.718,23.060,21.232,2.000,27.430,31.245,23.225,43.629,nan,7.860,20.657,nan,23.854,24.862,26.952,0.000,nan,nan,nan,4.302,nan,3.389,22.839
Soil11_CE_234_-18_CHL_T9,nan,0.489,63.259,40.347,nan,nan,10.329,77.256,114.139,15.837,46.354,40.324,4.816,nan,0.000,2.000,1.720,61.436,26.235,24.433,1.814,31.045,30.039,33.832,49.039,nan,8.798,23.160,nan,21.315,30.816,28.607,0.000,nan,nan,nan,5.500,nan,4.257,19.733
Soil11_CE_234_-25_CHL_T9,nan,0.685,56.459,22.058,nan,nan,10.126,68.642,97.489,19.329,33.598,48.944,3.959,nan,0.000,0.686,3.250,45.403,23.818,15.285,0.000,27.212,26.723,22.502,55.456,nan,6.205,21.589,nan,20.590,19.634,23.723,0.000,nan,nan,nan,4.906,nan,7.155,23.085
Soil11_CE_234_-3_CHL_T9,nan,0.587,91.540,45.807,nan,nan,14.952,101.144,137.630,24.093,52.334,67.117,6.542,nan,0.000,0.000,2.532,67.753,29.028,33.376,0.000,40.650,38.992,38.389,63.774,nan,11.168,26.689,nan,38.128,37.704,34.136,0.000,nan,nan,nan,7.548,nan,3.537,30.922
Soil11_CE_234_-50_CHL_T9,nan,0.978,64.153,21.108,nan,nan,24.242,78.211,101.281,33.301,37.116,44.716,7.524,nan,0.000,0.000,3.720,46.469,23.060,13.243,1.784,20.983,18.872,25.826,72.187,nan,7.606,18.557,nan,21.452,22.474,25.413,0.000,nan,nan,nan,6.837,nan,22.016,53.026
Soil11_CE_234_-5_CHL_T9,nan,0.587,67.000,37.069,nan,nan,9.544,82.737,118.733,13.248,53.666,51.216,4.243,nan,0.000,0.000,1.752,51.957,27.320,28.612,1.139,30.813,26.624,28.258,43.893,nan,9.566,22.254,nan,27.831,23.169,26.778,0.090,nan,nan,nan,6.119,nan,3.856,17.974
Soil11_CE_234_-8_CHL_T9,nan,2.347,260.343,144.223,nan,nan,29.631,326.651,438.535,51.390,186.304,202.817,11.719,nan,0.000,1.355,7.706,233.631,119.454,120.426,4.907,119.120,132.540,137.346,199.805,nan,43.799,103.561,nan,116.325,113.986,128.586,0.090,nan,nan,nan,17.946,nan,7.822,68.812
Soil11_CE_234_0_CHL_T9,nan,0.196,61.095,25.766,nan,nan,15.077,79.974,109.003,21.954,54.529,44.346,4.802,nan,0.000,1.000,2.228,48.971,23.026,18.821,0.479,34.905,35.681,28.404,51.294,nan,11.537,26.885,nan,27.857,24.680,26.506,0.000,nan,nan,nan,5.729,nan,12.701,30.415
