,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_0_CHL_No_Nitrate_T9,21.480,9.760,587.740,0.000,33.800,53.260,15.800,232.680,12.520,43.920,0.000,0.190,0.000,2.090,3.380,0.000,15.570,0.620,0.000,0.000,0.000,0.000,0.000,0.000,172.310,0.000,0.000,2.130,3.080,0.000,0.000,1507.590,0.160,0.000,0.000,38.290,37.890,0.980,0.000,0.000
Soil11_CE_234_0_None_No_Nitrate_T9,12.610,4.680,336.680,0.000,22.050,32.080,6.320,218.550,18.520,23.030,0.000,1.360,0.000,0.760,0.850,0.000,7.760,0.650,0.000,0.000,0.000,0.000,0.000,0.000,108.850,0.000,0.000,2.670,2.460,0.000,0.000,856.370,0.370,0.000,0.000,22.330,31.180,1.280,0.000,0.000
Soil12_CE_229_0_CHL_No_Nitrate_T9,16.300,10.470,472.640,0.000,26.570,26.600,1.750,51.040,4.780,36.210,0.000,0.890,0.000,0.000,2.060,0.000,16.160,2.210,0.000,0.000,0.000,0.000,0.000,0.000,50.610,0.000,0.000,2.660,9.970,0.000,0.000,760.730,0.000,0.000,2.680,51.860,21.310,2.210,0.000,0.390
Soil12_CE_229_0_None_No_Nitrate_T9,16.600,6.940,494.620,0.000,31.730,27.490,0.590,179.110,115.230,47.570,0.000,0.590,0.000,0.370,0.000,0.000,15.420,3.150,0.000,0.000,0.000,0.000,0.000,0.000,54.890,0.000,0.000,8.470,10.990,0.000,0.000,809.560,0.000,0.000,0.960,68.460,22.640,2.140,0.830,0.720
Soil14_CE_251_N2_0_CHL_No_Nitrate_T9,13.660,6.130,410.860,0.000,15.150,26.750,0.500,42.130,1.900,36.500,0.000,0.000,0.000,0.000,0.000,0.000,15.820,3.540,0.000,0.000,0.000,0.000,0.000,0.000,21.410,0.000,0.000,6.040,9.470,0.000,0.000,583.970,0.000,0.000,3.730,53.200,22.440,1.080,0.180,1.610
Soil14_CE_251_N2_0_None_No_Nitrate_T9,18.080,8.570,492.610,0.000,20.870,27.740,0.050,187.340,1.080,40.620,0.000,0.000,0.000,0.000,0.200,0.000,18.380,6.710,0.000,0.000,0.000,0.000,0.000,0.000,21.860,0.000,0.000,4.340,13.390,0.000,0.000,574.620,0.000,0.000,2.170,43.680,30.990,1.280,1.710,1.130
Soil15_CE_251_N5_0_CHL_No_Nitrate_T9,25.890,13.950,714.830,0.000,22.250,44.690,0.590,72.980,0.620,49.080,0.000,0.000,4.000,0.000,0.330,0.000,22.140,14.420,0.000,0.000,0.000,0.000,0.000,0.000,7.040,0.000,0.000,15.090,16.650,0.000,0.000,825.000,0.000,0.000,5.160,77.310,68.120,0.390,2.020,1.280
Soil15_CE_251_N5_0_None_No_Nitrate_T9,30.910,18.380,1097.850,1.190,27.730,87.790,0.510,351.960,1.770,68.110,0.000,0.000,3.250,0.370,1.350,0.000,27.710,26.610,0.000,0.000,0.000,0.000,0.000,0.000,7.960,0.000,0.000,10.410,19.830,0.000,0.000,1332.040,0.000,0.000,7.340,110.840,127.180,2.620,2.310,0.780
Soil16_CE_251_N6_0_CHL_No_Nitrate_T9,17.690,7.360,649.690,0.000,26.780,40.190,0.130,54.260,0.710,38.800,0.000,0.780,3.360,2.430,0.000,0.000,21.110,6.590,0.000,0.000,0.000,0.000,0.000,0.000,14.540,0.000,0.000,11.520,13.510,0.000,0.000,679.740,0.000,0.000,4.890,50.800,64.440,1.330,0.000,1.050
Soil16_CE_251_N6_0_None_No_Nitrate_T9,25.490,13.880,1237.180,0.000,37.740,59.020,0.000,339.950,2.810,63.110,0.000,1.670,5.610,0.370,0.000,0.000,33.040,15.990,0.000,0.000,0.000,0.000,0.000,0.000,18.880,0.000,0.000,8.400,25.140,0.000,0.000,1178.190,0.000,0.000,6.400,97.200,119.580,7.110,0.000,1.180
Soil17_CE_251_N3_0_CHL_No_Nitrate_T9,25.360,8.240,568.010,0.000,17.110,54.440,0.000,74.710,0.890,36.500,0.000,1.650,0.000,0.290,1.110,0.000,18.140,3.530,0.000,0.000,0.000,0.000,0.000,0.000,8.070,0.000,0.000,5.190,9.310,0.000,0.570,673.300,0.000,0.000,4.820,62.420,37.810,5.040,0.000,2.960
