,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_0_CHL_No_Nitrate_T9,nan,0.782,83.618,36.662,nan,nan,13.023,102.263,144.451,27.075,54.516,47.671,6.448,nan,0.000,0.000,2.033,70.267,27.669,36.677,1.000,33.798,34.789,35.810,66.922,nan,11.038,32.718,nan,34.357,31.479,30.474,0.180,nan,nan,nan,8.497,nan,10.305,32.599
Soil11_CE_234_0_None_No_Nitrate_T9,nan,0.391,60.305,17.369,nan,nan,15.838,110.462,135.386,29.504,35.421,52.174,21.466,nan,0.000,0.000,6.681,43.081,14.627,15.483,0.000,19.795,17.214,23.183,65.827,nan,9.441,12.787,nan,19.536,14.362,20.978,0.000,nan,nan,nan,12.774,nan,17.387,50.205
Soil12_CE_229_0_CHL_No_Nitrate_T9,nan,0.196,68.350,25.316,nan,nan,15.105,71.783,95.209,24.319,29.216,41.897,4.248,nan,0.000,1.000,3.325,64.975,25.702,15.327,1.521,22.843,20.903,23.299,59.831,nan,10.629,20.622,nan,22.123,19.618,23.810,0.180,nan,nan,nan,8.653,nan,4.709,36.834
Soil12_CE_229_0_None_No_Nitrate_T9,nan,1.285,78.121,27.144,nan,nan,24.123,87.941,116.253,44.630,47.189,46.063,6.121,nan,0.000,0.785,9.443,138.171,34.302,20.365,3.253,24.261,27.916,21.406,115.123,nan,40.904,19.897,nan,21.831,21.069,31.141,0.180,nan,nan,nan,12.981,nan,9.616,83.623
Soil14_CE_251_N2_0_CHL_No_Nitrate_T9,nan,0.293,58.990,21.070,nan,nan,8.219,53.788,65.670,23.869,25.772,27.831,4.802,nan,0.000,3.132,1.457,57.547,24.998,13.654,1.273,19.385,18.783,13.889,50.965,nan,8.700,11.865,nan,12.148,12.700,16.327,0.450,nan,nan,nan,14.673,nan,4.158,38.647
Soil14_CE_251_N2_0_None_No_Nitrate_T9,nan,0.489,53.113,12.414,nan,nan,14.190,106.583,122.226,34.909,25.805,47.056,25.675,nan,0.000,4.854,2.596,82.396,20.783,7.844,0.887,11.786,17.830,13.861,72.143,nan,15.050,8.731,nan,6.674,7.563,10.661,0.616,nan,nan,nan,39.857,nan,8.950,68.095
Soil15_CE_251_N5_0_CHL_No_Nitrate_T9,nan,0.685,111.273,47.930,nan,nan,17.306,178.671,163.103,47.253,71.627,95.031,30.561,nan,0.000,2.776,1.737,119.222,39.845,30.422,2.258,42.970,34.956,38.114,91.827,nan,16.618,33.077,nan,37.480,35.284,35.374,0.989,nan,nan,nan,53.512,nan,13.659,62.689
Soil15_CE_251_N5_0_None_No_Nitrate_T9,nan,1.174,138.071,42.239,nan,nan,53.101,746.859,562.440,88.416,149.102,348.910,222.446,nan,0.361,2.323,5.209,206.311,50.606,40.502,7.825,38.225,31.540,42.104,150.518,nan,31.724,30.121,nan,40.634,30.821,39.137,1.441,nan,nan,nan,246.369,nan,22.986,125.285
Soil16_CE_251_N6_0_CHL_No_Nitrate_T9,nan,1.075,74.875,30.685,nan,nan,12.538,87.439,94.188,35.981,44.219,51.404,19.128,nan,0.000,5.169,1.677,102.156,23.520,18.970,2.450,26.478,28.117,27.943,68.611,nan,12.939,20.659,nan,21.971,25.589,24.212,1.980,nan,nan,nan,33.494,nan,12.870,63.197
Soil16_CE_251_N6_0_None_No_Nitrate_T9,nan,0.978,125.798,35.216,nan,nan,43.854,460.527,412.929,100.042,94.583,247.290,122.967,nan,0.517,3.054,8.499,212.904,40.773,19.990,2.572,25.673,26.940,19.232,151.168,nan,27.321,26.663,nan,33.533,28.749,34.844,3.879,nan,nan,nan,179.874,nan,24.157,168.044
