,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_0_None_T0,11.780,6.380,344.870,0.000,19.850,37.550,10.800,89.710,1.860,17.900,0.000,0.820,0.000,0.000,3.610,0.000,4.700,0.450,0.000,0.000,0.000,0.000,0.000,0.000,75.970,0.000,0.000,0.700,1.860,0.000,0.000,867.170,0.000,0.000,0.350,12.640,26.150,0.100,0.000,0.000
Soil12_CE_229_0_None_T0,26.460,10.400,462.790,0.000,24.050,28.950,0.780,43.140,1.780,36.310,0.000,1.540,0.000,0.430,1.230,0.000,15.450,2.150,0.000,0.000,0.000,0.000,0.000,0.000,38.990,0.000,0.000,2.960,5.520,0.000,0.000,701.120,0.000,0.000,1.900,36.730,20.480,0.000,2.600,0.730
Soil14_CE_251_N2_0_None_T0,20.360,7.130,391.530,0.000,16.150,15.110,0.000,34.900,1.500,31.090,0.000,0.000,0.000,0.000,0.470,0.000,18.330,5.810,0.000,0.000,0.000,0.000,0.000,0.000,23.470,0.000,0.000,1.360,9.930,0.000,0.000,562.470,0.000,0.000,3.080,31.610,25.240,0.250,0.650,0.460
Soil15_CE_251_N5_0_None_T0,32.170,11.740,690.130,0.000,17.590,39.790,0.000,55.320,1.040,36.010,0.000,0.190,0.000,0.440,0.220,0.000,25.830,11.460,0.000,0.000,0.000,0.000,0.000,0.000,10.760,0.000,0.000,5.980,14.830,0.000,0.000,765.820,0.000,0.000,4.040,56.790,78.740,0.700,0.000,0.680
Soil16_CE_251_N6_0_None_T0,36.990,20.370,828.300,0.000,16.320,42.830,0.000,70.760,0.830,55.810,0.000,0.750,0.000,1.890,0.000,0.000,28.370,10.300,0.000,0.000,0.000,0.000,0.000,0.000,15.480,0.000,0.000,7.950,17.960,0.000,0.000,759.930,0.000,0.000,7.220,46.810,101.060,0.430,1.700,0.500
Soil17_CE_251_N3_0_None_T0,30.240,7.100,572.690,0.000,14.990,30.730,0.000,33.480,0.630,26.160,0.000,0.380,0.000,0.000,0.000,0.000,25.090,5.920,0.000,0.000,0.000,0.000,0.000,0.000,11.550,0.000,0.000,3.320,16.310,0.000,0.000,695.020,0.000,0.000,3.660,43.030,44.470,2.910,0.000,1.890
Soil3_CE_239_0_None_T0,7.980,2.600,276.130,0.000,37.420,20.020,0.210,164.100,1.500,7.970,0.000,0.510,0.000,0.000,0.000,0.000,2.990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,74.050,0.000,0.000,3.420,0.030,0.000,0.000,678.160,0.000,0.000,0.120,9.920,26.400,2.990,0.000,0.000
Soil5_CE_201_0_None_T0,12.590,3.460,328.860,0.000,25.130,37.860,0.480,178.580,4.000,13.220,0.000,0.190,0.040,0.000,0.000,0.000,3.850,0.000,0.000,0.000,0.000,0.000,0.000,0.000,102.450,0.000,0.000,2.620,1.320,0.000,0.000,573.380,0.000,0.000,0.010,8.870,34.230,2.180,0.000,0.000
Soil6_CE_73_0_None_T0,20.320,13.340,678.590,0.000,95.350,86.000,7.430,274.590,9.430,37.590,0.000,0.570,0.000,0.000,0.970,0.000,12.660,0.330,0.000,0.000,0.000,0.000,0.000,0.000,209.240,0.000,0.000,2.560,1.000,0.000,0.000,1390.950,0.000,0.000,0.000,30.220,75.080,1.560,0.000,0.000
Soil9_CE_277_0_None_T0,37.480,15.540,601.130,0.000,58.120,62.520,11.170,195.530,16.490,35.040,0.000,0.730,0.000,0.760,1.600,0.000,10.840,1.230,0.000,0.000,0.000,0.000,0.000,0.000,95.220,0.000,0.000,3.740,2.810,0.000,0.000,907.670,0.000,0.000,0.000,28.820,46.100,2.680,0.000,0.660
