,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil11_CE_234_0_None_T0,nan,0.293,55.563,21.273,nan,nan,12.177,62.438,88.039,15.065,29.394,30.759,5.375,nan,0.000,0.000,2.490,35.023,12.407,18.837,2.732,24.026,20.619,17.201,44.853,nan,7.126,13.811,nan,20.083,14.320,20.483,0.090,nan,nan,nan,5.969,nan,6.057,26.751
Soil12_CE_229_0_None_T0,nan,0.684,76.135,27.454,nan,nan,18.832,80.883,114.100,33.491,42.583,41.836,4.624,nan,0.000,1.764,4.494,56.246,19.941,26.054,5.428,24.497,17.747,24.592,60.505,nan,10.699,18.174,nan,21.742,21.240,25.791,0.935,nan,nan,nan,8.941,nan,11.435,49.054
Soil14_CE_251_N2_0_None_T0,nan,0.550,59.991,16.189,nan,nan,8.909,64.012,81.285,24.698,25.615,31.906,3.977,nan,0.000,1.412,2.411,61.408,25.211,15.077,1.433,19.717,16.397,13.396,53.717,nan,10.273,12.292,nan,14.805,15.316,20.125,0.360,nan,nan,nan,15.330,nan,6.709,42.115
Soil15_CE_251_N5_0_None_T0,nan,0.587,111.296,42.722,nan,nan,20.700,177.985,168.743,60.749,67.858,107.912,38.017,nan,0.093,4.187,3.189,164.011,44.305,31.263,4.720,43.591,41.000,41.159,96.859,nan,16.771,28.304,nan,39.735,31.545,38.161,1.942,nan,nan,nan,64.000,nan,15.266,86.864
Soil16_CE_251_N6_0_None_T0,nan,2.249,134.412,39.545,nan,nan,27.118,149.197,151.058,72.158,61.087,89.963,26.390,nan,0.259,4.886,3.435,167.761,44.267,29.238,9.331,34.806,36.151,28.678,107.915,nan,23.740,29.826,nan,32.682,27.724,30.037,4.222,nan,nan,nan,54.141,nan,17.918,116.954
Soil17_CE_251_N3_0_None_T0,nan,0.489,83.782,24.846,nan,nan,19.685,118.437,129.543,41.638,43.658,76.771,23.148,nan,0.000,7.392,2.748,115.253,46.319,18.623,9.129,24.054,24.042,26.695,82.817,nan,23.464,19.648,nan,25.718,24.281,29.904,1.339,nan,nan,nan,42.391,nan,16.303,62.056
Soil3_CE_239_0_None_T0,nan,0.293,41.100,25.816,nan,nan,2.318,50.947,65.562,4.727,25.642,32.961,1.173,nan,0.000,0.000,0.581,24.529,15.724,20.281,0.000,23.664,19.433,20.562,25.907,nan,9.898,14.350,nan,20.271,15.965,17.618,0.000,nan,nan,nan,1.251,nan,1.130,9.542
Soil5_CE_201_0_None_T0,nan,0.196,43.779,22.362,nan,nan,7.713,51.488,74.280,6.899,25.075,29.565,3.481,nan,0.000,0.000,1.647,27.874,13.760,13.160,0.000,17.595,17.877,19.723,37.737,nan,12.539,14.249,nan,16.440,15.409,13.395,0.000,nan,nan,nan,2.455,nan,6.473,11.005
Soil6_CE_73_0_None_T0,nan,0.880,115.619,52.074,nan,nan,20.213,133.412,196.880,29.574,84.362,85.573,7.662,nan,0.000,0.000,4.676,76.395,46.600,46.297,1.000,55.836,49.760,52.295,86.854,nan,22.285,44.490,nan,41.378,48.607,54.891,0.000,nan,nan,nan,5.174,nan,18.218,46.074
Soil9_CE_277_0_None_T0,nan,1.369,82.051,18.644,nan,nan,21.810,112.750,159.692,32.200,38.998,67.502,11.361,nan,0.000,1.657,6.171,56.749,32.436,18.589,1.526,29.627,31.201,21.508,72.618,nan,20.025,21.229,nan,27.658,22.409,27.507,0.180,nan,nan,nan,9.109,nan,9.024,50.755
