SMPLID,Habitat,Individual,Dataset,Acc.no,total input read (pairs),Rejected 1st read pair,Rejected 2nd read pair,Accepted 1st read pair,Accepted 2nd read pair,Singleton 1st read pair,Singleton 2nd read pair,Avg read length,AvgQual read quality (if quality information available),average accumulated Error,Latitude,Longitude,Date when the sample was collected.
G2761a,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,5476613,893348,1584441,4583265,3892172,887068,195975,236,35.9,0.614,3.22,101.84,12/10/11
AV103,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,1463754,262200,469992,1201554,993762,266720,58928,236,35.8,0.699,-0.39,-72.05,4/1/12
AV104,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,5606732,653226,1409928,4953506,4196804,966536,209834,241,36.4,0.701,-0.35,-72.06,4/1/12
AV105,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,2566638,365575,728592,2201063,1838046,460185,97168,238,36.0,0.671,-3.60,-69.53,4/1/12
AV110,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,2479992,347357,727449,2132635,1752543,476363,96271,240,36.1,0.74,-0.38,-72.24,4/1/12
AV112,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,2734932,360119,754415,2374813,1980517,501125,106829,241,36.2,0.733,-0.40,-72.08,4/1/12
AV114,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,1125117,117621,266548,1007496,858569,155083,6156,236,35.3,0.819,-0.55,-71.36,4/1/12
AV117,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,2506109,352428,729777,2153681,1776332,471402,94053,240,36.1,0.725,-4.01,-69.90,4/1/12
AV120,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,1349957,294523,518540,1055434,831417,270449,46432,234,35.6,0.669,-4.00,-69.89,4/1/12
AV125,Tropical_montane_forests,-,Global_soil,ENA_ERP020652,1032014,139856,283856,892158,748158,185163,41163,241,36.3,0.738,4.87,-75.17,4/1/12
AV127,Tropical_montane_forests,-,Global_soil,ENA_ERP020652,981231,38387,144225,942844,837006,110792,4954,239,35.7,0.855,6.71,-75.47,4/1/12
G2536,Temperate_coniferous_forests,-,Global_soil,ENA_ERP020652,732686,50774,153710,681912,578976,107120,4184,237,35.5,0.834,58.46,26.82,7/21/11
G2538,Temperate_coniferous_forests,-,Global_soil,ENA_ERP020652,828893,122206,336046,706687,492847,232361,18521,238,36.0,0.731,58.12,27.03,7/24/11
G2620,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,925995,123039,330975,802956,595020,232297,24361,240,36.2,0.766,58.28,26.37,8/20/11
G2629,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,1138512,169373,456838,969139,681674,310990,23525,237,35.9,0.695,58.05,24.71,8/30/11
G2640,Mediterrean,-,Global_soil,ENA_ERP020652,966335,34830,270987,931505,695348,238975,2818,238,35.5,0.88,-34.36,116.29,11/1/11
G2643,Mediterrean,-,Global_soil,ENA_ERP020652,814962,173478,306346,641484,508616,161816,28948,235,35.7,0.684,-34.95,116.76,11/1/11
