#SmplID	SmplID2
FS1	Sample_2761A_31
FS2	Sample_AV103_1
FS3	Sample_AV104_2
FS4	Sample_AV105_3
FS5	Sample_AV110_4
FS6	Sample_AV112_5
FS7	Sample_AV114_6
FS8	Sample_AV117_7
FS9	Sample_AV120_8
FS10	Sample_AV125_189
FS11	Sample_AV127_190
FS12	Sample_G2536_191
FS13	Sample_G2538_109
FS14	Sample_G2620_110
FS15	Sample_G2629_111
FS16	Sample_G2640_112
FS17	Sample_G2643_192
FS18	Sample_G2645_9
FS19	Sample_G2648_10
FS20	Sample_G2649_11
FS21	Sample_G2650_12
FS22	Sample_G2653_13
FS23	Sample_G2655_14
FS24	Sample_G2657_15
FS25	Sample_G2658_16
FS26	Sample_G2659_113
FS27	Sample_G2660_114
FS28	Sample_G2661_17
FS29	Sample_G2664_18
FS30	Sample_G2669_22
FS31	Sample_G2677_115
FS32	Sample_G2679_116
FS33	Sample_G2700_117
FS34	Sample_G2728_19
FS35	Sample_G2733_118
FS36	Sample_G2736_20
FS37	Sample_G2742_119
FS39	Sample_G2745_21
FS38	Sample_G2745X_120
FS40	Sample_G2747_23
FS41	Sample_G2751_24
FS42	Sample_G2754_25
FS44	Sample_G2755_26
FS43	Sample_G2755X_27
FS45	Sample_G2757X_28
FS46	Sample_G2758_29
FS47	Sample_G2760_30
FS48	Sample_G2788_121
FS49	Sample_G2829_106
FS50	Sample_G2830_102
FS51	Sample_G2831_122
FS52	Sample_G2834_188
FS53	Sample_G2836_100
FS54	Sample_G2838_124
FS55	Sample_G2839_32
FS56	Sample_G2840_125
FS57	Sample_G2844_126
FS58	Sample_G2846_127
FS59	Sample_G2847_128
FS60	Sample_G2907_129
FS61	Sample_G2919_123
FS62	Sample_G2969_130
FS63	Sample_G2971_131
FS64	Sample_G3050_33
FS65	Sample_G3051_34
FS66	Sample_G3055_132
FS67	Sample_G3057_133
FS68	Sample_G3059_134
FS69	Sample_G3060_35
FS70	Sample_G3242_135
FS71	Sample_G3308_136
FS72	Sample_G3318_137
FS73	Sample_G3426_138
FS74	Sample_G3429_139
FS75	Sample_G3484_36
FS76	Sample_G3487_140
FS77	Sample_G3504_141
FS78	Sample_S01_37
FS79	Sample_S04_38
FS80	Sample_S05_39
FS81	Sample_S06_40
FS85	Sample_S10_41
FS82	Sample_S103_164
FS83	Sample_S107_56
FS84	Sample_S108_57
FS90	Sample_S11_42
FS86	Sample_S110_58
FS87	Sample_S110_68
FS88	Sample_S111_165
FS89	Sample_S114_59
FS97	Sample_S12_43
FS91	Sample_S120_60
FS92	Sample_S121_166
FS93	Sample_S122_167
FS94	Sample_S125_168
FS95	Sample_S128_187
FS96	Sample_S129_169
FS98	Sample_S131_61
FS99	Sample_S137_62
FS100	Sample_S139_97
FS101	Sample_S140_63
FS102	Sample_S141_170
FS103	Sample_S142_64
FS104	Sample_S143_171
FS105	Sample_S148_65
FS106	Sample_S149_66
FS107	Sample_S150_172
FS108	Sample_S159_67
FS109	Sample_S162_173
FS110	Sample_S165_69
FS111	Sample_S168_70
FS112	Sample_S169_174
FS116	Sample_S17_44
FS113	Sample_S171_71
FS114	Sample_S174_72
FS115	Sample_S177_73
#FS121	Sample_S18_142
FS117	Sample_S181_74
FS118	Sample_S186_75
FS119	Sample_S187_175
FS120	Sample_S188_176
FS122	Sample_S190_76
FS123	Sample_S193_77
FS124	Sample_S194_78
FS125	Sample_S195_79
FS126	Sample_S196_177
FS127	Sample_S197_178
FS128	Sample_S199_80
FS132	Sample_S20_143
FS129	Sample_S203_81
FS130	Sample_S204_105
FS131	Sample_S208_96
FS133	Sample_S211_82
FS134	Sample_S212_83
FS135	Sample_S214_84
FS136	Sample_S215_85
FS137	Sample_S217_86
FS138	Sample_S223_87
FS144	Sample_S23_144
FS139	Sample_S231_88
FS140	Sample_S234_89
FS141	Sample_S235_179
FS142	Sample_S236_180
FS143	Sample_S238_90
FS145	Sample_S243_91
FS146	Sample_S247_92
FS147	Sample_S248_181
FS148	Sample_S249_93
FS149	Sample_S251_94
FS150	Sample_S252_95
FS151	Sample_S258_101
FS152	Sample_S260_182
FS153	Sample_S261_183
FS154	Sample_S262_184
FS155	Sample_S263_185
FS156	Sample_S268_186
FS157	Sample_S269_99
FS158	Sample_S27_145
FS159	Sample_S29_146
FS160	Sample_S30_107
FS161	Sample_S31_147
FS162	Sample_S32_148
FS163	Sample_S36_98
FS164	Sample_S37_149
FS165	Sample_S41_150
FS166	Sample_S43_45
FS167	Sample_S44_151
FS168	Sample_S45_103
FS169	Sample_S49_152
FS170	Sample_S52_153
FS171	Sample_S53_154
FS172	Sample_S56_46
FS173	Sample_S58_155
FS174	Sample_S61_47
FS175	Sample_S62_156
FS176	Sample_S63_157
FS177	Sample_S68_48
FS178	Sample_S69_49
FS179	Sample_S70_50
FS180	Sample_S72_51
FS181	Sample_S73_52
FS182	Sample_S75_158
FS183	Sample_S79_159
FS184	Sample_S81_160
FS185	Sample_S85_161
FS186	Sample_S89_162
FS187	Sample_S92_108
FS188	Sample_S94_163
FS189	Sample_S96_104
FS190	Sample_S97_53
FS191	Sample_S98_54
FS192	Sample_S99_55
