query (incomplete)	target (complete)	score
Soil11.scaffold_669406189_c1_1	Soil9.scaffold_209032411_c1_3	5.449392712550607
Soil11.scaffold_168782194_c1_1	Soil9.scaffold_209032411_c1_3	4.704142011834319
Soil11.scaffold_603781636_c1_1	Soil15.scaffold_116822102_c1_19	4.966360856269113
Soil11.scaffold_668984062_c1_1	Soil15.scaffold_116822102_c1_19	4.879781420765028
Soil11.scaffold_511455488_c1_1	T0.scaffold_273218771_c1_2	5.446715328467153
Soil11.scaffold_179201199_c1_1	Soil16.scaffold_804923086_c1_3	4.716666666666667
Soil11.scaffold_263816562_c1_1	Soil11.scaffold_211583530_c1_6	5.003802281368821
Soil11.scaffold_211952232_c1_1	Soil3.scaffold_285743490_c1_2	4.286549707602339
Soil11.scaffold_323439603_c1_1	Soil3.scaffold_414071996_c1_8	4.819923371647509
Soil11.scaffold_652099539_c1_1	Soil9.scaffold_766455321_c1_2	5.244635193133047
Soil11.scaffold_489486455_c1_1	Soil9.scaffold_209032411_c1_3	4.4189723320158105
Soil11.scaffold_538017197_c1_1	Soil5.scaffold_544698016_c1_2	4.26803118908382
Soil11.scaffold_422426196_c1_1	Soil16.scaffold_804923086_c1_3	4.478682170542636
Soil11.scaffold_129783488_c1_1	Soil3.scaffold_333288240_c1_8	4.555555555555555
Soil11.scaffold_227320314_c1_1	Soil9.scaffold_209032411_c1_3	4.878260869565217
Soil11.scaffold_149369388_c1_1	Soil6.scaffold_86801766_c1_2	4.781481481481482
Soil11.scaffold_170649441_c1_1	Soil3.scaffold_408070428_c1_2	4.532786885245901
Soil11.scaffold_347614675_c1_1	Soil5.scaffold_215117222_c1_59	5.0
Soil11.scaffold_150019973_c1_1	Soil3.scaffold_408070428_c1_2	4.597701149425287
Soil11.scaffold_582072067_c1_1	Soil12.scaffold_266712765_c1_2	5.002544529262087
Soil11.scaffold_356766832_c1_1	Soil6.scaffold_312871021_c1_4	4.8034894398530765
Soil11.scaffold_109289769_c1_1	Soil16.scaffold_804923086_c1_3	4.073359073359073
Soil11.scaffold_654579484_c1_1	Soil14.scaffold_280216268_c1_12	4.676691729323308
Soil11.scaffold_400023678_c1_1	Soil5.scaffold_249001418_c1_2	4.184986595174263
Soil11.scaffold_594580914_c1_1	Soil3.scaffold_285743490_c1_2	5.262962962962963
Soil11.scaffold_68703120_c1_1	Soil12.scaffold_266712765_c1_2	4.878289473684211
