query_id,class,representative_id,representative_index,alignment_score,alignment_length,identities,identity_percent
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A512HM43|unreviewed|nitrate,1,5145.0,1461,887,60.71184120465435
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1X4NJB3|unreviewed|nitrate,2,5009.0,1482,855,57.692307692307686
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A7W6P0X5|unreviewed|nitrate,3,5141.0,1463,884,60.423786739576215
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1M3MLR7|unreviewed|nitrate,4,5078.0,1474,871,59.09090909090909
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A833L6E3|unreviewed|nitrate,5,5117.0,1468,873,59.46866485013624
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A4EXU5|unreviewed|nitrate,6,4991.0,1484,850,57.27762803234502
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,Q3SUK2|unreviewed|nitrate,7,4057.0,1611,663,41.154562383612664
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1H1HAQ9|unreviewed|nitrate,8,5076.0,1455,863,59.312714776632305
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1I0QUY6|unreviewed|nitrate,9,5020.0,1473,855,58.044806517311606
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A316C3F7|unreviewed|nitrate,10,4996.0,1489,854,57.35392881128274
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A347UDN3|unreviewed|nitrate,11,4993.0,1478,851,57.57780784844384
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A165W5Q7|unreviewed|nitrate,12,5055.0,1462,862,58.96032831737345
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A840AYT6|unreviewed|nitrate,13,5092.0,1458,869,59.60219478737997
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0AAE9XQX7|unreviewed|nitrate,14,5113.0,1457,871,59.780370624571034
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A844ZW81|unreviewed|nitrate,15,5135.0,1450,882,60.827586206896555
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A2N3BA51|unreviewed|4Fe-4S,16,3805.0,1409,654,46.41589779985806
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A239I193|unreviewed|nitrate,17,5091.0,1463,868,59.33014354066985
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A2S0NER2|unreviewed|nitrate,18,5038.0,1480,858,57.97297297297297
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A6L5YVV0|unreviewed|nitrate,19,5059.0,1479,872,58.95875591615957
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A2S7J0B2|unreviewed|nitrate,20,5099.0,1473,873,59.26680244399185
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1N6UET5|unreviewed|nitrate,21,5022.0,1475,856,58.03389830508474
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,B8EHX8|unreviewed|nitrate,22,5135.0,1454,887,61.00412654745529
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1E4F5D4|unreviewed|nitrate,23,5097.0,1471,874,59.41536369816451
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1B9YFZ1|unreviewed|nitrate,24,5215.0,1450,896,61.793103448275865
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1V1UL92|unreviewed|nitrate,25,5080.0,1471,870,59.14343983684568
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A8I1M687|unreviewed|nitrate,26,5056.0,1472,859,58.35597826086957
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,F8JCT8|unreviewed|nitrate,27,5115.0,1459,875,59.972583961617545
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A7W0HY80|unreviewed|nitrate,28,5005.0,1491,843,56.53923541247485
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A2W7IHW6|unreviewed|Nitrate,29,4181.0,1445,718,49.688581314878896
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A922VP62|unreviewed|nitrate,30,5056.0,1470,864,58.77551020408164
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A256GIG4|unreviewed|nitrate,31,5114.0,1471,876,59.551325628823925
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A4R3LXM9|unreviewed|nitrate,32,5105.0,1465,872,59.522184300341294
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A9Q2PD28|unreviewed|nitrate,33,5078.0,1484,875,58.9622641509434
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A259KCF0|unreviewed|Nitrate,34,3244.0,1365,560,41.02564102564102
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A127ETD6|unreviewed|nitrate,35,5081.0,1476,870,58.94308943089431
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A963WYW9|unreviewed|nitrate,36,5027.0,1475,858,58.16949152542373
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A3S2V0S6|unreviewed|nitrate,37,4999.0,1482,850,57.3549257759784
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A0X3UCJ4|unreviewed|nitrate,38,5047.0,1470,858,58.36734693877551
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1Q3W2Y5|unreviewed|nitrate,39,5166.0,1457,883,60.603980782429645
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1Q3Z3I8|unreviewed|nitrate,40,5065.0,1476,871,59.010840108401084
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A376ALF3|unreviewed|nitrate,41,5171.0,1459,892,61.13776559287183
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0AA34WZR2|unreviewed|nitrate,42,5081.0,1463,867,59.26179084073821
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A2S4LSK6|unreviewed|nitrate,43,5095.0,1473,874,59.334691106585204
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A367X8L9|unreviewed|nitrate,44,4986.0,1478,841,56.90121786197564
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,Q166T5|unreviewed|nitrate,45,5009.0,1481,856,57.79878460499662
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A074JLT6|unreviewed|nitrate,46,5033.0,1473,860,58.38424983027834
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1M7HH15|unreviewed|nitrate,47,5055.0,1467,860,58.62304021813224
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1M3C915|unreviewed|nitrate,48,4035.0,1616,662,40.96534653465346
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1G7BGI6|unreviewed|nitrate,49,5087.0,1459,872,59.76696367374914
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,B4RFL8|unreviewed|nitrate,50,4915.0,1492,833,55.83109919571045
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A844CRR1|unreviewed|nitrate,51,4971.0,1483,848,57.1813890761969
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A127CEE3|unreviewed|nitrate,52,5150.0,1461,887,60.71184120465435
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,N6UU87|unreviewed|nitrate,53,5116.0,1450,875,60.3448275862069
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1U9Z754|unreviewed|nitrate,54,5163.0,1456,889,61.057692307692314
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1H8LQD4|unreviewed|nitrate,55,5053.0,1483,872,58.79973027646662
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A258DTC7|unreviewed|4Fe-4S,56,3488.0,1391,595,42.77498202731847
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A8J7WF33|unreviewed|nitrate,57,5069.0,1484,872,58.760107816711596
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1J5M4C6|unreviewed|nitrate,58,5009.0,1480,854,57.7027027027027
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A975DSB4|unreviewed|nitrate,59,5119.0,1461,879,60.16427104722793
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A940EEY0|unreviewed|nitrate,60,5084.0,1477,874,59.17400135409614
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A2S8S5D9|unreviewed|nitrate,61,5010.0,1481,855,57.73126266036462
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A6L8GB06|unreviewed|4Fe-4S,62,3578.0,1405,603,42.91814946619217
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A3S0MZB6|unreviewed|nitrate,63,5011.0,1492,860,57.64075067024129
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1F2XR48|unreviewed|Nitrate,64,2856.0,1345,496,36.87732342007435
