Soil15.scaffold_629749193_c1_1	Soil15.scaffold_629749193_c1_1	Soil15.scaffold_629749193_c1_1	K26138	42.4
Soil15.scaffold_1184165065_c1_1	Soil15.scaffold_1184165065_c1_1	Soil5.scaffold_333243519_c1_2	K26138	31.2
Soil15.scaffold_1082378281_c1_1	Soil15.scaffold_1184165065_c1_1	Soil5.scaffold_333243519_c1_2	K26138	31.2
Soil15.scaffold_277591876_c1_1	Soil15.scaffold_277591876_c1_1	Soil15.scaffold_277591876_c1_1	K26138	35
Soil15.scaffold_601903440_c1_2	Soil15.scaffold_277591876_c1_1	Soil15.scaffold_277591876_c1_1	K26138	35
Soil15.scaffold_788771666_c1_1	Soil15.scaffold_277591876_c1_1	Soil15.scaffold_277591876_c1_1	K26138	35
