query_id,class,alignment_score,identity_percent
Soil11.scaffold_211583530_c1_6,Alphaproteobacteria,5164.93,59.865389281051165
Soil11.scaffold_211583530_c1_6,Betaproteobacteria,5318.976,63.07201385194777
Soil11.scaffold_211583530_c1_6,Deltaproteobacteria,4238.3125,42.916038226632566
Soil11.scaffold_211583530_c1_6,Gammaproteobacteria,5166.83,59.67426121751384
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,4978.494,57.84444255920008
Soil11.scaffold_587233302_c1_1,Betaproteobacteria,5309.456,64.802983854344
Soil11.scaffold_587233302_c1_1,Deltaproteobacteria,4154.375,42.60060977246098
Soil11.scaffold_587233302_c1_1,Gammaproteobacteria,5033.344,58.36129648647746
Soil12.scaffold_266712765_c1_2,Alphaproteobacteria,5294.82,63.56230166136538
Soil12.scaffold_266712765_c1_2,Betaproteobacteria,5091.52,58.84829315910753
Soil12.scaffold_266712765_c1_2,Deltaproteobacteria,4172.0625,42.52853894953229
Soil12.scaffold_266712765_c1_2,Gammaproteobacteria,5100.314,59.21172445367384
Soil14.scaffold_280216268_c1_12,Alphaproteobacteria,4970.102,56.8416692054333
Soil14.scaffold_280216268_c1_12,Betaproteobacteria,5322.672,63.93992896232499
Soil14.scaffold_280216268_c1_12,Deltaproteobacteria,4180.4375,42.258123557630725
Soil14.scaffold_280216268_c1_12,Gammaproteobacteria,5036.76,57.42814192054687
Soil14.scaffold_576820813_c1_40,Alphaproteobacteria,4701.978,51.32228440575442
Soil14.scaffold_576820813_c1_40,Betaproteobacteria,4792.996,52.854956820126134
Soil14.scaffold_576820813_c1_40,Deltaproteobacteria,4190.375,42.68825165391872
Soil14.scaffold_576820813_c1_40,Gammaproteobacteria,4703.996,51.15170042034946
Soil15.scaffold_16321085_c1_6,Alphaproteobacteria,5218.34,62.37617449152617
Soil15.scaffold_16321085_c1_6,Betaproteobacteria,5135.406,60.04647186791187
Soil15.scaffold_16321085_c1_6,Deltaproteobacteria,4175.625,42.60144896416576
Soil15.scaffold_16321085_c1_6,Gammaproteobacteria,5122.204,59.8151603348221
Soil16.scaffold_313969256_c1_10,Alphaproteobacteria,5419.362,66.08284071441231
Soil16.scaffold_313969256_c1_10,Betaproteobacteria,5148.55,59.72406618238114
Soil16.scaffold_313969256_c1_10,Deltaproteobacteria,4212.3125,43.102889106247105
Soil16.scaffold_313969256_c1_10,Gammaproteobacteria,5132.082,59.606144721803524
Soil16.scaffold_804923086_c1_3,Alphaproteobacteria,5159.06,60.3588007500157
Soil16.scaffold_804923086_c1_3,Betaproteobacteria,5343.458,64.2200320030753
Soil16.scaffold_804923086_c1_3,Deltaproteobacteria,4210.375,42.808963342827354
Soil16.scaffold_804923086_c1_3,Gammaproteobacteria,5150.894,59.77382145028902
Soil17.scaffold_1202428475_c1_2,Alphaproteobacteria,5420.526,66.22623422192542
Soil17.scaffold_1202428475_c1_2,Betaproteobacteria,5149.32,59.8018284013941
Soil17.scaffold_1202428475_c1_2,Deltaproteobacteria,4213.75,43.13071792627031
Soil17.scaffold_1202428475_c1_2,Gammaproteobacteria,5148.446,60.11823775437628
Soil17.scaffold_332687915_c1_2,Alphaproteobacteria,5298.19,63.34902655145651
Soil17.scaffold_332687915_c1_2,Betaproteobacteria,5083.74,58.43998166797965
Soil17.scaffold_332687915_c1_2,Deltaproteobacteria,4171.25,42.41710350470188
Soil17.scaffold_332687915_c1_2,Gammaproteobacteria,5099.394,58.9243240251021
Soil3.scaffold_285743490_c1_2,Alphaproteobacteria,5140.286,61.134498173387804
Soil3.scaffold_285743490_c1_2,Betaproteobacteria,5122.764,60.28703292676924
Soil3.scaffold_285743490_c1_2,Deltaproteobacteria,4180.375,43.15077232544546
Soil3.scaffold_285743490_c1_2,Gammaproteobacteria,5109.464,59.96325372256161
Soil3.scaffold_408070428_c1_2,Alphaproteobacteria,5179.496,60.26301087570689
Soil3.scaffold_408070428_c1_2,Betaproteobacteria,5319.74,62.98463276067017
Soil3.scaffold_408070428_c1_2,Deltaproteobacteria,4204.8125,42.44989146997022
Soil3.scaffold_408070428_c1_2,Gammaproteobacteria,5156.862,59.17089158243979
Soil5.scaffold_215117222_c1_59,Alphaproteobacteria,5133.07,59.15869412008186
Soil5.scaffold_215117222_c1_59,Betaproteobacteria,5297.99,62.34487791092581
Soil5.scaffold_215117222_c1_59,Deltaproteobacteria,4208.6875,42.35637917968556
Soil5.scaffold_215117222_c1_59,Gammaproteobacteria,5137.522,58.83287494188625
Soil5.scaffold_416434691_c1_48,Alphaproteobacteria,5200.374,62.18857662102857
Soil5.scaffold_416434691_c1_48,Betaproteobacteria,5159.374,60.616591701183346
Soil5.scaffold_416434691_c1_48,Deltaproteobacteria,4204.875,43.13708071601671
Soil5.scaffold_416434691_c1_48,Gammaproteobacteria,5155.694,60.68061943400815
Soil6.scaffold_312871021_c1_4,Alphaproteobacteria,4998.236,56.84081397206076
Soil6.scaffold_312871021_c1_4,Betaproteobacteria,5315.28,63.15446030091469
Soil6.scaffold_312871021_c1_4,Deltaproteobacteria,4167.875,41.916654380690424
Soil6.scaffold_312871021_c1_4,Gammaproteobacteria,5068.186,57.47507398213941
Soil6.scaffold_460055642_c1_2,Alphaproteobacteria,5168.774,60.24234750491507
Soil6.scaffold_460055642_c1_2,Betaproteobacteria,5302.808,62.895886940247124
Soil6.scaffold_460055642_c1_2,Deltaproteobacteria,4188.75,42.35087322889175
Soil6.scaffold_460055642_c1_2,Gammaproteobacteria,5142.95,59.19535972978347
T0.scaffold_172278247_c1_4,Alphaproteobacteria,5410.746,66.01315144980688
T0.scaffold_172278247_c1_4,Betaproteobacteria,5147.766,59.76997908796959
T0.scaffold_172278247_c1_4,Deltaproteobacteria,4203.3125,42.938503328264055
T0.scaffold_172278247_c1_4,Gammaproteobacteria,5134.322,59.66423790200065
T0.scaffold_786865677_c1_2,Alphaproteobacteria,5299.152,63.73602399043613
T0.scaffold_786865677_c1_2,Betaproteobacteria,5115.416,59.67986930505922
T0.scaffold_786865677_c1_2,Deltaproteobacteria,4179.625,42.75843460000817
T0.scaffold_786865677_c1_2,Gammaproteobacteria,5106.102,59.45686592858457
