query_id,phylum,representative_id,representative_index,alignment_score,alignment_length,identities,identity_percent
Soil11.scaffold_431547323_c1_2,Bacteroidota,A0A399D723|unreviewed|nitrate,1,4252.0,1522,696,45.729303547963205
Soil11.scaffold_431547323_c1_2,Bacteroidota,A0A9D9VY91|unreviewed|nitrate,2,4108.0,1546,671,43.402328589909445
Soil11.scaffold_431547323_c1_2,Bacteroidota,A0A1G6KWR1|unreviewed|nitrate,3,4049.0,1585,660,41.6403785488959
Soil11.scaffold_431547323_c1_2,Bacteroidota,A0A1F3NZE7|unreviewed|nitrate,4,4289.0,1505,698,46.37873754152824
Soil11.scaffold_431547323_c1_2,Bacteroidota,A0A434AV88|unreviewed|nitrate,5,4011.0,1587,659,41.52488972904852
Soil11.scaffold_431547323_c1_2,Pseudomonadota,A0A149V6R9|unreviewed|4Fe-4S,1,4006.0,1596,655,41.040100250626566
Soil11.scaffold_431547323_c1_2,Pseudomonadota,A0A4Q7N714|unreviewed|nitrate,2,3990.0,1609,641,39.838408949658174
Soil11.scaffold_431547323_c1_2,Pseudomonadota,A0A0N9VQU4|unreviewed|nitrate,3,4007.0,1592,652,40.95477386934673
Soil11.scaffold_431547323_c1_2,Pseudomonadota,A0A5B0BNB7|unreviewed|nitrate,4,4084.0,1613,669,41.47551146931184
Soil11.scaffold_431547323_c1_2,Pseudomonadota,A0A7Z0I064|unreviewed|nitrate,5,4075.0,1592,662,41.58291457286432
Soil11.scaffold_431547323_c1_2,Bacillota,A0A1I1VAQ5|unreviewed|nitrate,1,4039.0,1603,661,41.23518402994385
Soil11.scaffold_431547323_c1_2,Bacillota,A0A5J5HPE3|unreviewed|nitrate,2,4084.0,1572,672,42.74809160305343
Soil11.scaffold_431547323_c1_2,Bacillota,A0A941E077|unreviewed|nitrate,3,3947.0,1593,639,40.11299435028249
Soil11.scaffold_431547323_c1_2,Bacillota,A0A2T5G6I1|unreviewed|nitrate,4,4114.0,1569,681,43.40344168260038
Soil11.scaffold_431547323_c1_2,Bacillota,A0A0R1H9J7|unreviewed|nitrate,5,3954.0,1598,639,39.9874843554443
Soil11.scaffold_431547323_c1_2,Actinomycetota,Q1AWQ7|unreviewed|Nitrate,1,4070.0,1570,670,42.675159235668794
Soil11.scaffold_431547323_c1_2,Actinomycetota,A0A511D6I2|unreviewed|Nitrate,2,3993.0,1608,657,40.85820895522388
Soil11.scaffold_431547323_c1_2,Actinomycetota,A0A7K0W3P6|unreviewed|Nitrate,3,3939.0,1589,652,41.032095657646316
Soil11.scaffold_431547323_c1_2,Actinomycetota,U1QE67|unreviewed|nitrate,4,3832.0,1649,628,38.083687083080655
Soil11.scaffold_431547323_c1_2,Actinomycetota,A0A8J3NMA7|unreviewed|nitrate,5,3930.0,1606,648,40.34869240348692
Soil11.scaffold_431547323_c1_2,acidobacteriota,A0A936F3S9|unreviewed|nitrate,1,4343.0,1509,712,47.18356527501656
Soil11.scaffold_431547323_c1_2,acidobacteriota,A0A953EJI2|unreviewed|nitrate,2,4434.0,1504,736,48.93617021276596
Soil11.scaffold_431547323_c1_2,acidobacteriota,A0A1F2RVC6|unreviewed|nitrate,3,4341.0,1511,710,46.98874917273329
Soil11.scaffold_431547323_c1_2,acidobacteriota,A0A9D7SI32|unreviewed|nitrate,4,4357.0,1506,716,47.54316069057105
Soil11.scaffold_431547323_c1_2,acidobacteriota,A0A1F2SV26|unreviewed|4Fe-4S,5,3522.0,1412,584,41.359773371104815
Soil11.scaffold_431547323_c1_2,chloroflexota,A0A2N2MAT5|unreviewed|nitrate,1,4401.0,1511,733,48.510919920582396
Soil11.scaffold_431547323_c1_2,chloroflexota,A0A949W021|unreviewed|nitrate,2,4312.0,1524,718,47.112860892388454
Soil11.scaffold_431547323_c1_2,chloroflexota,A0A1F8L172|unreviewed|nitrate,3,4330.0,1500,726,48.4
Soil11.scaffold_431547323_c1_2,chloroflexota,A0A8J6NLS7|unreviewed|nitrate,4,4381.0,1510,735,48.675496688741724
Soil11.scaffold_431547323_c1_2,chloroflexota,A0A2M8CTB5|unreviewed|nitrate,5,4404.0,1485,736,49.562289562289564
Soil11.scaffold_431547323_c1_2,verrucomicrobiota,A0A849XW34|unreviewed|nitrate,1,4370.0,1520,730,48.026315789473685
Soil11.scaffold_431547323_c1_2,verrucomicrobiota,A0A933UFK4|unreviewed|nitrate,2,4267.0,1536,703,45.76822916666667
Soil11.scaffold_431547323_c1_2,verrucomicrobiota,A0A934F0J8|unreviewed|nitrate,3,4254.0,1528,700,45.811518324607334
Soil11.scaffold_431547323_c1_2,verrucomicrobiota,A0A832HWY0|unreviewed|Nitrate,4,3903.0,1510,650,43.04635761589404
Soil11.scaffold_431547323_c1_2,verrucomicrobiota,A0A7C4LZE2|unreviewed|nitrate,5,4273.0,1529,706,46.17396991497711
Soil11.scaffold_431547323_c1_2,gemmatimonadota,A0A2D5ZQA8|unreviewed|nitrate,1,4314.0,1532,710,46.344647519582246
Soil11.scaffold_431547323_c1_2,gemmatimonadota,A0A524IW10|unreviewed|nitrate,2,4395.0,1492,730,48.92761394101876
Soil11.scaffold_431547323_c1_2,gemmatimonadota,A0A933BW52|unreviewed|nitrate,3,3974.0,1612,640,39.70223325062035
Soil11.scaffold_431547323_c1_2,gemmatimonadota,A0A945GIP3|unreviewed|nitrate,4,4362.0,1517,715,47.13249835201055
Soil11.scaffold_431547323_c1_2,gemmatimonadota,A0A9D7CFV4|unreviewed|nitrate,5,4210.0,1530,686,44.83660130718955
Soil11.scaffold_431547323_c1_2,myxococcota,Q2IJW3|unreviewed|nitrate,1,4347.0,1514,728,48.084544253632764
Soil11.scaffold_431547323_c1_2,myxococcota,B4ULS9|unreviewed|nitrate,2,4343.0,1516,728,48.02110817941953
Soil11.scaffold_431547323_c1_2,myxococcota,A0A928XR34|unreviewed|nitrate,3,4183.0,1533,685,44.6836268754077
Soil11.scaffold_431547323_c1_2,myxococcota,A7HGD0|unreviewed|nitrate,4,4119.0,1544,694,44.94818652849741
Soil11.scaffold_431547323_c1_2,myxococcota,A0A947HI39|unreviewed|nitrate,5,4253.0,1543,696,45.10693454309786
Soil11.scaffold_587233302_c1_1,Bacteroidota,A0A399D723|unreviewed|nitrate,1,3963.0,1606,643,40.037359900373595
Soil11.scaffold_587233302_c1_1,Bacteroidota,A0A9D9VY91|unreviewed|nitrate,2,3958.0,1616,643,39.78960396039604
Soil11.scaffold_587233302_c1_1,Bacteroidota,A0A1G6KWR1|unreviewed|nitrate,3,4723.0,1517,797,52.53790375741595
Soil11.scaffold_587233302_c1_1,Bacteroidota,A0A1F3NZE7|unreviewed|nitrate,4,3948.0,1619,643,39.71587399629401
Soil11.scaffold_587233302_c1_1,Bacteroidota,A0A434AV88|unreviewed|nitrate,5,4766.0,1504,801,53.25797872340425
Soil11.scaffold_587233302_c1_1,Pseudomonadota,A0A149V6R9|unreviewed|4Fe-4S,1,4616.0,1533,769,50.16307893020222
Soil11.scaffold_587233302_c1_1,Pseudomonadota,A0A4Q7N714|unreviewed|nitrate,2,5148.0,1456,877,60.23351648351648
Soil11.scaffold_587233302_c1_1,Pseudomonadota,A0A0N9VQU4|unreviewed|nitrate,3,5548.0,1384,966,69.79768786127167
Soil11.scaffold_587233302_c1_1,Pseudomonadota,A0A5B0BNB7|unreviewed|nitrate,4,5112.0,1481,874,59.01417960837272
Soil11.scaffold_587233302_c1_1,Pseudomonadota,A0A7Z0I064|unreviewed|nitrate,5,4971.0,1484,847,57.07547169811321
Soil11.scaffold_587233302_c1_1,Bacillota,A0A1I1VAQ5|unreviewed|nitrate,1,4246.0,1588,703,44.269521410579344
