query_id,phylum,alignment_score,identity_percent
Soil11.scaffold_211583530_c1_6,Actinomycetota,4236.8,43.42907638614057
Soil11.scaffold_211583530_c1_6,Bacillota,4328.8,44.68476732717724
Soil11.scaffold_211583530_c1_6,Bacteroidota,4335.8,45.02556805032467
Soil11.scaffold_211583530_c1_6,Pseudomonadota,5212.8,60.257531411758144
Soil11.scaffold_211583530_c1_6,acidobacteriota,3957.6,40.41434804182254
Soil11.scaffold_211583530_c1_6,chloroflexota,4150.6,41.89932859615315
Soil11.scaffold_211583530_c1_6,gemmatimonadota,4092.0,40.99821103731263
Soil11.scaffold_211583530_c1_6,myxococcota,4209.6,44.14882357113167
Soil11.scaffold_211583530_c1_6,verrucomicrobiota,4074.4,41.30600304750239
Soil11.scaffold_431547323_c1_2,Actinomycetota,3991.2,41.75329532345855
Soil11.scaffold_431547323_c1_2,Bacillota,4043.2,42.13032024049862
Soil11.scaffold_431547323_c1_2,Bacteroidota,4144.0,43.49459700058678
Soil11.scaffold_431547323_c1_2,Pseudomonadota,4051.0,41.297149294862315
Soil11.scaffold_431547323_c1_2,acidobacteriota,4213.4,46.73688712200695
Soil11.scaffold_431547323_c1_2,chloroflexota,4339.8,47.825397349337685
Soil11.scaffold_431547323_c1_2,gemmatimonadota,4251.0,45.38871887408429
Soil11.scaffold_431547323_c1_2,myxococcota,4137.2,44.954473494644546
Soil11.scaffold_431547323_c1_2,verrucomicrobiota,4223.4,45.84569294400424
Soil11.scaffold_587233302_c1_1,Actinomycetota,4138.4,43.0196792511275
Soil11.scaffold_587233302_c1_1,Bacillota,4285.6,44.96173801886664
Soil11.scaffold_587233302_c1_1,Bacteroidota,4285.0,45.16692868938761
Soil11.scaffold_587233302_c1_1,Pseudomonadota,5183.4,61.46745524331938
Soil11.scaffold_587233302_c1_1,acidobacteriota,3869.6,39.77061691815628
Soil11.scaffold_587233302_c1_1,chloroflexota,4058.4,41.597666767268606
Soil11.scaffold_587233302_c1_1,gemmatimonadota,3962.4,40.009069806324945
Soil11.scaffold_587233302_c1_1,myxococcota,4073.4,42.83691443321563
Soil11.scaffold_587233302_c1_1,verrucomicrobiota,4011.0,41.175330477738484
Soil11.scaffold_65427810_c1_20,Actinomycetota,4671.8,53.20788808704024
Soil11.scaffold_65427810_c1_20,Bacillota,4337.8,46.75159332993256
Soil11.scaffold_65427810_c1_20,Bacteroidota,4025.2,40.91311272077106
Soil11.scaffold_65427810_c1_20,Pseudomonadota,4217.8,43.62844908046559
Soil11.scaffold_65427810_c1_20,acidobacteriota,3923.6,41.40488173369731
Soil11.scaffold_65427810_c1_20,chloroflexota,4081.4,42.35460241529335
Soil11.scaffold_65427810_c1_20,gemmatimonadota,4050.6,41.8446721615384
Soil11.scaffold_65427810_c1_20,myxococcota,3986.6,42.216049861501304
Soil11.scaffold_65427810_c1_20,verrucomicrobiota,3983.2,41.56677335820644
Soil12.scaffold_266712765_c1_2,Actinomycetota,4234.8,44.48912099880279
Soil12.scaffold_266712765_c1_2,Bacillota,4291.4,44.47146332897423
Soil12.scaffold_266712765_c1_2,Bacteroidota,4335.0,45.734924280684126
Soil12.scaffold_266712765_c1_2,Pseudomonadota,5202.4,61.02508466589127
Soil12.scaffold_266712765_c1_2,acidobacteriota,3914.0,40.23213278286572
Soil12.scaffold_266712765_c1_2,chloroflexota,4068.4,41.271200281782015
Soil12.scaffold_266712765_c1_2,gemmatimonadota,4032.0,40.55527836383381
Soil12.scaffold_266712765_c1_2,myxococcota,4169.0,44.140160237345825
Soil12.scaffold_266712765_c1_2,verrucomicrobiota,4051.2,41.21745942046732
Soil14.scaffold_280216268_c1_12,Actinomycetota,4141.4,42.27441032931389
Soil14.scaffold_280216268_c1_12,Bacillota,4321.0,44.865435669421984
Soil14.scaffold_280216268_c1_12,Bacteroidota,4340.0,45.45685645114204
Soil14.scaffold_280216268_c1_12,Pseudomonadota,5162.2,60.01015576506592
Soil14.scaffold_280216268_c1_12,acidobacteriota,3909.2,39.77266917763777
Soil14.scaffold_280216268_c1_12,chloroflexota,4076.6,41.22304536168223
Soil14.scaffold_280216268_c1_12,gemmatimonadota,4021.4,40.34428834956667
Soil14.scaffold_280216268_c1_12,myxococcota,4082.6,42.36844654082067
Soil14.scaffold_280216268_c1_12,verrucomicrobiota,4010.2,40.43968147914875
Soil14.scaffold_465502786_c1_2,Actinomycetota,5293.8,65.49982623188073
Soil14.scaffold_465502786_c1_2,Bacillota,4295.2,45.861008940880424
Soil14.scaffold_465502786_c1_2,Bacteroidota,3984.6,40.37778481994034
Soil14.scaffold_465502786_c1_2,Pseudomonadota,4143.6,42.575634898880494
Soil14.scaffold_465502786_c1_2,acidobacteriota,3845.8,40.07645581577465
Soil14.scaffold_465502786_c1_2,chloroflexota,4025.8,41.39402406928757
Soil14.scaffold_465502786_c1_2,gemmatimonadota,3985.2,40.63923071093879
Soil14.scaffold_465502786_c1_2,myxococcota,3921.2,41.012512689657214
Soil14.scaffold_465502786_c1_2,verrucomicrobiota,3924.2,40.5199999003692
Soil14.scaffold_576820813_c1_40,Actinomycetota,4149.4,42.4380449666035
Soil14.scaffold_576820813_c1_40,Bacillota,4247.0,44.110022789594225
Soil14.scaffold_576820813_c1_40,Bacteroidota,4223.0,43.47965374846261
Soil14.scaffold_576820813_c1_40,Pseudomonadota,4745.4,51.69604667437843
Soil14.scaffold_576820813_c1_40,acidobacteriota,3945.0,40.57525608622306
Soil14.scaffold_576820813_c1_40,chloroflexota,4101.8,41.95569965926212
Soil14.scaffold_576820813_c1_40,gemmatimonadota,4067.2,40.9046019820408
Soil14.scaffold_576820813_c1_40,myxococcota,4087.0,42.53559834250458
Soil14.scaffold_576820813_c1_40,verrucomicrobiota,4045.6,41.471085057797026
Soil14.scaffold_596019752_c1_119,Actinomycetota,4232.0,44.73915480918323
Soil14.scaffold_596019752_c1_119,Bacillota,4462.6,48.2752902009849
Soil14.scaffold_596019752_c1_119,Bacteroidota,4109.6,42.307029275738316
Soil14.scaffold_596019752_c1_119,Pseudomonadota,4237.0,43.64521159343444
Soil14.scaffold_596019752_c1_119,acidobacteriota,3917.6,40.72940704102204
Soil14.scaffold_596019752_c1_119,chloroflexota,4075.4,41.7320966278714
Soil14.scaffold_596019752_c1_119,gemmatimonadota,4022.6,40.82262042381525
Soil14.scaffold_596019752_c1_119,myxococcota,3899.2,39.854330566467155
Soil14.scaffold_596019752_c1_119,verrucomicrobiota,3891.0,39.60174303280996
Soil15.scaffold_116822102_c1_19,Actinomycetota,4995.8,57.91090840326821
Soil15.scaffold_116822102_c1_19,Bacillota,4338.8,45.2719213813874
Soil15.scaffold_116822102_c1_19,Bacteroidota,4012.6,39.73682838575518
Soil15.scaffold_116822102_c1_19,Pseudomonadota,4199.4,42.2949562641221
Soil15.scaffold_116822102_c1_19,acidobacteriota,3897.0,39.727678924706545
Soil15.scaffold_116822102_c1_19,chloroflexota,4076.0,41.1473431596211
Soil15.scaffold_116822102_c1_19,gemmatimonadota,4019.0,40.052208000344294
Soil15.scaffold_116822102_c1_19,myxococcota,3945.2,40.50709084848229
Soil15.scaffold_116822102_c1_19,verrucomicrobiota,3946.2,39.976257080115715
Soil15.scaffold_1255266399_c1_142,Actinomycetota,4266.8,45.086615566281516
Soil15.scaffold_1255266399_c1_142,Bacillota,4450.6,48.15162280461742
Soil15.scaffold_1255266399_c1_142,Bacteroidota,4092.4,41.89752310356624
Soil15.scaffold_1255266399_c1_142,Pseudomonadota,4265.0,44.03547847943933
Soil15.scaffold_1255266399_c1_142,acidobacteriota,3935.8,40.975323991703064
Soil15.scaffold_1255266399_c1_142,chloroflexota,4081.2,41.610638127401764
Soil15.scaffold_1255266399_c1_142,gemmatimonadota,4042.8,41.080248023964295
Soil15.scaffold_1255266399_c1_142,myxococcota,3915.0,40.1122466698695
Soil15.scaffold_1255266399_c1_142,verrucomicrobiota,3864.4,38.90495409405302
Soil15.scaffold_16321085_c1_6,Actinomycetota,4197.8,43.55693755399247
Soil15.scaffold_16321085_c1_6,Bacillota,4274.4,44.42094793588065
Soil15.scaffold_16321085_c1_6,Bacteroidota,4356.0,46.40234309903536
Soil15.scaffold_16321085_c1_6,Pseudomonadota,5202.8,61.33666144893848
Soil15.scaffold_16321085_c1_6,acidobacteriota,3914.8,40.28246569627837
Soil15.scaffold_16321085_c1_6,chloroflexota,4062.4,41.32027105062383
